,Rank,Title,Release,Duration (Min),Genre,Rating,Votes
0,1,The Shawshank Redemption,1994,142,Crime,9.3,1757030
1,2,The Godfather,1972,175,Crime,9.2,1199943
2,3,The Godfather: Part II,1974,202,Crime,9.0,824068
3,4,The Dark Knight,2008,152,Action,9.0,1740117
4,5,12 Angry Men,1957,96,Crime,8.9,471437
5,6,Schindler's List,1994,195,Biography,8.9,900343
6,7,Pulp Fiction,1994,154,Crime,8.9,1375893
7,8,The Lord of the Rings: The Return of the King,2003,201,Adventure,8.9,1261887
8,9,"The Good, the Bad and the Ugly",1967,161,Western,8.9,522558
9,10,Fight Club,1999,139,Drama,8.8,1403991
10,11,The Lord of the Rings: The Fellowship of the Ring,2001,178,Adventure,8.8,1283911
11,12,Star Wars: Episode V - The Empire Strikes Back,1980,124,Action,8.8,876267
12,13,Forrest Gump,1994,142,Comedy,8.8,1310370
13,14,Inception,2010,148,Action,8.8,1531628
14,15,The Lord of the Rings: The Two Towers,2002,179,Adventure,8.7,1143242
15,16,One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7,705037
16,17,Goodfellas,1990,146,Biography,8.7,757660
17,18,The Matrix,1999,136,Action,8.7,1264934
18,19,Seven Samurai,1956,207,Adventure,8.7,237824
19,20,Star Wars: Episode IV - A New Hope,1977,121,Action,8.7,950069
20,21,City of God,2004,130,Crime,8.7,552551
21,22,La La Land,2016,128,Comedy,8.8,67659
22,23,Se7en,1995,127,Crime,8.6,1067717
23,24,The Silence of the Lambs,1991,118,Crime,8.6,927859
24,25,It's a Wonderful Life,1947,130,Drama,8.6,290214
25,26,The Usual Suspects,1995,106,Crime,8.6,770182
26,27,Life Is Beautiful,1999,116,Comedy,8.6,441793
27,28,Léon: The Professional,1994,110,Crime,8.6,756774
28,29,Spirited Away,2003,125,Animation,8.6,440927
29,30,Saving Private Ryan,1998,169,Drama,8.6,919641
30,31,Once Upon a Time in the West,1969,175,Western,8.6,225023
31,32,American History X,1998,119,Crime,8.6,812294
32,33,Interstellar,2014,169,Adventure,8.6,994784
33,34,Casablanca,1943,102,Drama,8.6,401450
34,35,Psycho,1960,109,Horror,8.5,440394
35,36,City Lights,1931,87,Comedy,8.6,113889
36,37,The Green Mile,1999,189,Crime,8.5,822092
37,38,Raiders of the Lost Ark,1981,115,Action,8.5,685590
38,39,The Intouchables,2011,112,Biography,8.6,533954
39,40,Modern Times,1936,87,Comedy,8.5,150607
40,41,Rear Window,1954,112,Mystery,8.5,328971
41,42,The Pianist,2003,150,Biography,8.5,522519
42,43,The Departed,2006,151,Crime,8.5,909154
43,44,Terminator 2: Judgment Day,1991,137,Action,8.5,772058
44,45,Back to the Future,1985,116,Adventure,8.5,765438
45,46,Whiplash,2014,107,Drama,8.5,442056
46,47,Gladiator,2000,155,Action,8.5,1022077
47,48,Memento,2001,113,Mystery,8.5,878022
48,49,Apocalypse Now,1979,153,Drama,8.5,466396
49,50,The Prestige,2006,130,Drama,8.5,881874
50,51,The Lion King,1994,88,Animation,8.5,675599
51,52,Alien,1979,117,Horror,8.5,587688
52,53,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,Comedy,8.5,354713
53,54,Sunset Blvd.,1950,110,Drama,8.5,145054
54,55,The Great Dictator,1941,125,Comedy,8.5,144381
55,56,The Lives of Others,2007,137,Drama,8.5,270021
56,57,Cinema Paradiso,1990,155,Drama,8.5,159924
57,58,Paths of Glory,1957,88,Drama,8.5,126308
58,59,Grave of the Fireflies,1988,89,Animation,8.5,147071
59,60,Django Unchained,2012,165,Drama,8.4,1001777
60,61,The Shining,1980,146,Drama,8.4,637443
61,62,WALL·E,2008,98,Animation,8.4,751273
62,63,American Beauty,1999,122,Drama,8.4,852725
63,64,The Dark Knight Rises,2012,164,Action,8.5,1188289
64,65,Princess Mononoke,1997,134,Animation,8.4,233305
65,66,Aliens,1986,137,Action,8.4,505750
66,67,Oldeuboi,2003,120,Drama,8.4,372747
67,68,Once Upon a Time in America,1984,229,Crime,8.4,230257
68,69,Citizen Kane,1941,119,Drama,8.4,308350
69,70,Das Boot,1982,149,Adventure,8.4,174336
70,71,Witness for the Prosecution,1958,116,Crime,8.4,67030
71,72,North by Northwest,1959,136,Action,8.4,227698
72,73,Vertigo,1958,128,Mystery,8.4,260137
73,74,Star Wars: Episode VI - Return of the Jedi,1983,131,Action,8.4,716027
74,75,Reservoir Dogs,1992,99,Crime,8.4,692321
75,76,M,1931,99,Crime,8.4,102917
76,77,Braveheart,1995,178,Biography,8.4,764368
77,78,Amélie,2002,122,Comedy,8.4,555189
78,79,Requiem for a Dream,2000,102,Drama,8.4,595592
79,80,A Clockwork Orange,1972,136,Crime,8.3,580911
80,81,Taxi Driver,1976,113,Crime,8.3,529128
81,82,Lawrence of Arabia,1962,216,Adventure,8.3,200401
82,83,Taare Zameen Par,2008,165,Drama,8.5,93999
83,84,Double Indemnity,1944,107,Crime,8.4,101864
84,85,To Kill a Mockingbird,1963,129,Crime,8.3,224198
85,86,Eternal Sunshine of the Spotless Mind,2004,108,Drama,8.3,694847
86,87,Toy Story 3,2010,103,Animation,8.3,568142
87,88,Babam ve Oglum,2005,108,Drama,8.7,41001
88,89,Amadeus,1984,160,Biography,8.3,281611
89,90,Hacksaw Ridge,2016,139,Drama,8.5,47443
90,91,Full Metal Jacket,1987,116,Drama,8.3,505544
91,92,The Sting,1973,129,Comedy,8.3,182571
92,93,2001: A Space Odyssey,1968,149,Adventure,8.3,445766
93,94,Bicycle Thieves,1949,89,Drama,8.3,99122
94,95,Singin' in the Rain,1952,103,Comedy,8.3,157502
95,96,Toy Story,1995,81,Animation,8.3,651619
96,97,Dangal,2016,161,Biography,9.1,26982
97,98,Snatch,2001,102,Comedy,8.3,622128
98,99,Inglourious Basterds,2009,153,Adventure,8.3,925896
99,100,The Kid,1921,68,Comedy,8.3,71879
100,101,Monty Python and the Holy Grail,1975,91,Adventure,8.3,395416
101,102,L.A. Confidential,1997,138,Crime,8.3,428113
102,103,3 Idiots,2009,170,Comedy,8.4,225205
103,104,For a Few Dollars More,1967,132,Western,8.3,164901
104,105,Scarface,1983,170,Crime,8.3,558683
105,106,Rashômon,1951,88,Crime,8.3,107127
106,107,The Apartment,1960,125,Comedy,8.3,114169
107,108,Jagten,2013,115,Drama,8.3,182586
108,109,Indiana Jones and the Last Crusade,1989,127,Action,8.3,535910
109,110,Good Will Hunting,1998,126,Drama,8.3,632936
110,111,A Separation,2011,123,Drama,8.4,158919
111,112,Metropolis,1927,153,Drama,8.3,116532
112,113,Yojimbo,1961,110,Action,8.3,77018
113,114,All About Eve,1951,138,Drama,8.3,85937
114,115,Batman Begins,2005,140,Action,8.3,1019219
115,116,Up,2009,96,Animation,8.3,697356
116,117,Some Like It Hot,1959,120,Comedy,8.3,181827
117,118,The Treasure of the Sierra Madre,1948,126,Adventure,8.3,82256
118,119,Unforgiven,1992,131,Drama,8.3,288063
119,120,Downfall,2005,156,Biography,8.3,257654
120,121,Raging Bull,1980,129,Biography,8.3,243454
121,122,Arrival,2016,116,Drama,8.3,123323
122,123,The Third Man,1949,93,Film-Noir,8.3,117888
123,124,Die Hard,1988,131,Action,8.2,614736
124,125,Children of Heaven,1999,89,Drama,8.4,31844
125,126,The Great Escape,1963,172,Adventure,8.2,172165
126,127,Heat,1995,170,Action,8.2,446108
127,128,Chinatown,1974,130,Drama,8.2,224716
128,129,Inside Out,2015,95,Animation,8.2,387165
129,130,Pan's Labyrinth,2007,118,Drama,8.2,485142
130,131,Ikiru,1956,143,Drama,8.3,44402
131,132,My Neighbor Totoro,1988,86,Animation,8.2,182939
132,133,On the Waterfront,1954,108,Crime,8.2,104868
133,134,Room,2016,118,Drama,8.2,199111
134,135,Ran,1985,162,Action,8.3,80795
135,136,The Gold Rush,1925,95,Adventure,8.2,71050
136,137,The Secret in Their Eyes,2010,129,Drama,8.2,139140
137,138,The Bridge on the River Kwai,1957,161,Adventure,8.2,155516
138,139,Blade Runner,1982,117,Sci-Fi,8.2,479113
139,140,Mr. Smith Goes to Washington,1939,129,Comedy,8.2,80255
140,141,The Seventh Seal,1958,96,Drama,8.2,116505
