,device_id,device_brand,device_model,gender,age,group
0,-8890648629457979026,xiaomi,red rice,M,33,M25-34
1,1277779817574759137,xiaomi,MI 2,M,26,M25-34
2,-5019277647504317457,samsung,Galaxy Note 2,F,32,F25-34
3,3238009352149731868,huawei,Mate,F,30,F25-34
4,-5827952925479472594,xiaomi,MI One Plus,M,30,M25-34
5,-8262508968076336275,vivo,S7I,F,35,F35-44
6,-5776341595519925628,xiaomi,MI 2A,M,27,M25-34
7,6327116114284382479,huawei,G520-0000,M,40,M35-44
8,773248989809697210,vivo,X5Pro,M,20,M15-24
9,-686020914357018824,xiaomi,MI 2S,M,32,M25-34
10,-6964140211214884922,xiaomi,MI 2S,F,31,F25-34
11,7206202610070842107,samsung,Galaxy Note 2,F,35,F35-44
12,7223189369472462826,cool,7270,F,38,F35-44
13,-4523542780146466405,vivo,Y3T,F,40,F35-44
14,-5913071468598874323,samsung,S7566,M,40,M35-44
15,-2339363715932966819,xiaomi,MI One Plus,M,20,M15-24
16,-8617503367917252519,samsung,Galaxy S4,F,21,F15-24
17,-5155397683752679020,huawei,荣耀3C,F,29,F25-34
18,3933889243973057197,xiaomi,red rice,M,22,M15-24
19,1234582813120123953,samsung,Galaxy S2,M,31,M25-34
20,-1183635331565164049,samsung,Galaxy S2,M,22,M15-24
21,-8820400837007529456,cool,大神F1,F,26,F25-34
22,-600298111716699450,samsung,Galaxy Mega 5.8,F,32,F25-34
23,330556479751190704,vivo,X3T,F,40,F35-44
24,6408930633896654430,cool,7296,F,50,F45+
25,-3624244972012051380,samsung,Galaxy Note,M,49,M45+
26,-4383739127824514041,xiaomi,MI 3,M,23,M15-24
27,6759056938763239532,vivo,Y19T,F,20,F15-24
28,-6783326542086982248,vivo,Xplay,M,25,M25-34
29,-5817422246078672037,xiaomi,red rice,F,29,F25-34
30,375031242916141301,索尼,Xperia Z,M,32,M25-34
31,4303468262303873643,xiaomi,MI 3,M,30,M25-34
32,7407342705734033772,xiaomi,MI 2S,M,41,M35-44
33,356961010933296739,cool,5216s,M,44,M35-44
34,7940363093768010617,huawei,Ascend P6,F,53,F45+
35,7261007317520923482,samsung,Galaxy Grand DUOS,M,41,M35-44
36,-1025284795963440768,samsung,Galaxy Note 2,M,56,M45+
37,6666299284550885153,huawei,荣耀7,M,24,M15-24
38,-4633092175790557823,huawei,G6-C00,M,17,M15-24
39,7102818890309647918,huawei,荣耀6 Plus,M,34,M25-34
40,-8003175198213999839,gionee,V182,M,49,M45+
41,7866947605228202260,lenovo,S960,F,40,F35-44
42,-5523016269228114848,vivo,X5M,F,20,F15-24
43,9082458259120998685,samsung,Galaxy Note 2,F,33,F25-34
44,-1309021727825404503,samsung,Galaxy S4,F,33,F25-34
45,-2259098316749479826,samsung,Galaxy Trend DUOS,M,32,M25-34
46,-2055599120381159331,xiaomi,MI 2,M,23,M15-24
47,5849468124633108515,酷比,S3,M,63,M45+
48,2526886856942563948,samsung,Galaxy S4,F,54,F45+
49,-5926490704406813688,xiaomi,red rice,M,35,M35-44
50,6483187242851953963,samsung,Galaxy S4,M,42,M35-44
51,8044811023808049290,xiaomi,MI 2S,F,53,F45+
52,6672489538587578372,xiaomi,MI 2S,M,23,M15-24
53,-9200021685010297824,cool,5891,M,34,M25-34
54,-4421611970072860526,xiaomi,MI 2S,M,28,M25-34
55,1134074080628032932,vivo,Xplay,F,27,F25-34
56,-2565765476126156797,meizu,MX2,F,27,F25-34
57,8490622669015199443,huawei,荣耀6,M,33,M25-34
58,-5869044911338673581,samsung,Galaxy Note 2,M,33,M25-34
59,9189682376009199991,samsung,Galaxy Grand,F,44,F35-44
60,-985124462268645910,samsung,Galaxy Win,M,22,M15-24
61,2951841912442360604,lenovo,乐檬K3 Note,M,25,M25-34
62,6037556077928764625,huawei,Ascend G700T,M,25,M25-34
63,-9042313259790278748,meizu,MX3,F,30,F25-34
64,-3702838092903269513,meizu,魅蓝Note 2,F,36,F35-44
65,-587725870499570281,oppo,N1 Mini,F,31,F25-34
66,7657865859967348395,samsung,Galaxy S3,F,30,F25-34
67,-7695822790659721236,xiaomi,MI 2S,F,24,F15-24
68,3441383103888306293,htc,802w,M,39,M35-44
69,-5241773386618458779,xiaomi,MI 2A,M,40,M35-44
70,-6267194322446053619,vivo,X6 D,F,34,F25-34
71,4072804797843084687,xiaomi,MI 2S,F,31,F25-34
72,5951241348350205020,索尼,Xperia Z,M,24,M15-24
73,9072907136437517311,samsung,Galaxy Note 2,M,33,M25-34
74,8980014395514529615,lg,Nexus 4,M,29,M25-34
75,-523753398484105208,huawei,C8813Q,M,20,M15-24
76,-588530661855223814,奇酷,旗舰版,F,36,F35-44
77,-5064840220634850214,huawei,Ascend P6,F,30,F25-34
78,8427733563418409246,xiaomi,MI 1S,M,27,M25-34
79,3894560916048775803,xiaomi,red rice,F,25,F25-34
80,-5358890273110512386,欧博信,IVO 6622,M,37,M35-44
81,-2798115985237334109,samsung,Galaxy Mega 5.8,M,28,M25-34
82,5985028401569381903,samsung,Galaxy S4,M,20,M15-24
83,-6321718900442134151,cool,7235,F,29,F25-34
84,-2225847465433663384,huawei,C8816,M,27,M25-34
85,-8593987297699439493,samsung,Galaxy Note 3,M,25,M25-34
86,8104063344230767442,cool,8085,F,20,F15-24
87,5026000636426893545,samsung,Galaxy S3,F,27,F25-34
88,-4120883610929992607,xiaomi,red rice,M,26,M25-34
89,8422043001977804630,xiaomi,MI 2,M,30,M25-34
90,-1951305415098690017,vivo,Xplay,M,46,M45+
91,1323745293769402202,samsung,Galaxy S2,M,17,M15-24
92,3912323251172869453,samsung,Galaxy Premier,F,30,F25-34
93,-6199709906927947436,xiaomi,MI 2S,M,19,M15-24
94,7041398722782024994,xiaomi,MI 2S,M,22,M15-24
95,6570748801194581087,samsung,Galaxy Note 3,F,33,F25-34
96,-4873037713376707148,索尼,Xperia Z Ultra,M,60,M45+
97,808901901795544336,samsung,Galaxy S4,F,29,F25-34
