account_key,projects_completed,completed_one_or_more,first_completion,join_date,days_to_completion,minutes_to_completion,visits_to_completion
0.0,2.0,1.0,2015-04-13,2015-01-09,94.0,6499.379325,69.0
1.0,2.0,1.0,2015-05-30,2015-05-06,24.0,2084.15761567,14.0
2.0,1.0,1.0,2015-08-16,2015-06-08,69.0,2294.35299167,19.0
3.0,2.0,1.0,2014-11-24,2014-11-10,14.0,1341.168204,11.0
4.0,2.0,1.0,2015-07-11,2015-05-12,60.0,1538.31787833,20.0
5.0,1.0,1.0,2015-04-14,2015-01-07,97.0,4908.93327833,68.0
6.0,4.0,1.0,2015-06-24,2015-06-05,19.0,1467.06638917,13.0
7.0,1.0,1.0,2015-07-28,2015-05-12,77.0,2127.20255933,26.0
8.0,2.0,1.0,2015-06-29,2015-05-06,54.0,3033.03735017,40.0
9.0,5.0,1.0,2015-02-16,2015-01-08,39.0,2854.7148705,21.0
10.0,3.0,1.0,2015-01-20,2014-11-10,71.0,2070.68464433,27.0
12.0,5.0,1.0,2015-02-24,2014-11-10,106.0,4437.15380133,38.0
13.0,4.0,1.0,2015-04-13,2015-04-01,12.0,1503.58038633,11.0
14.0,3.0,1.0,2015-07-11,2015-06-03,38.0,1147.6824515,8.0
15.0,5.0,1.0,2015-03-23,2015-01-12,70.0,3047.90754867,18.0
16.0,1.0,1.0,2015-08-18,2015-05-13,97.0,1382.96584967,20.0
17.0,2.0,1.0,2015-06-27,2015-05-11,47.0,1284.43280433,17.0
18.0,1.0,1.0,2015-01-02,2014-11-10,53.0,1914.3525735,25.0
19.0,2.0,1.0,2015-05-21,2015-04-06,45.0,1858.64433133,26.0
20.0,1.0,1.0,2015-07-06,2015-05-11,56.0,1520.664972,25.0
21.0,3.0,1.0,2015-07-18,2015-07-17,1.0,336.128545166,2.0
22.0,2.0,1.0,2015-05-25,2015-04-03,52.0,1574.1937305,23.0
23.0,4.0,1.0,2015-02-11,2014-11-10,93.0,6281.43650566,53.0
24.0,5.0,1.0,2015-02-05,2014-12-03,64.0,3781.11676833,27.0
25.0,2.0,1.0,2015-01-31,2014-11-11,81.0,2588.3954075,27.0
26.0,1.0,1.0,2015-04-13,2015-02-11,61.0,2285.62456383,22.0
27.0,1.0,1.0,2015-06-16,2015-05-11,36.0,4032.667741,22.0
28.0,2.0,1.0,2015-03-25,2015-01-12,72.0,4232.4569255,32.0
29.0,3.0,1.0,2015-07-16,2015-07-16,0.0,124.663766,1.0
30.0,3.0,1.0,2015-02-19,2015-02-10,9.0,69.6578351667,3.0
31.0,2.0,1.0,2015-04-24,2014-11-10,165.0,2012.3197185,27.0
32.0,2.0,1.0,2015-04-28,2015-01-08,110.0,2476.69633333,40.0
33.0,2.0,1.0,2015-04-13,2015-01-12,91.0,3795.543073,59.0
34.0,1.0,1.0,2015-04-13,2014-11-16,148.0,1946.67388333,24.0
35.0,4.0,1.0,2015-03-13,2015-02-08,33.0,2237.88688983,26.0
36.0,1.0,1.0,2015-07-10,2015-05-13,58.0,2376.57209117,21.0
37.0,6.0,1.0,2015-01-26,2014-11-14,73.0,6896.42707633,62.0
38.0,4.0,1.0,2015-02-19,2014-11-14,97.0,5484.894379,43.0
39.0,3.0,1.0,2015-07-20,2015-07-17,3.0,600.0573925,2.0
40.0,3.0,1.0,2015-07-19,2015-07-15,4.0,214.642079667,4.0
41.0,1.0,1.0,2015-08-17,2015-05-13,96.0,2855.65527567,34.0
42.0,3.0,1.0,2015-05-04,2015-03-04,61.0,1311.3305255,23.0
43.0,1.0,1.0,2015-02-16,2014-12-08,70.0,1619.1997405,19.0
44.0,3.0,1.0,2015-01-29,2014-11-10,80.0,2046.46242083,22.0
45.0,3.0,1.0,2015-01-22,2014-11-10,73.0,3056.39260917,36.0
46.0,2.0,1.0,2015-02-07,2014-12-08,61.0,4673.826784,25.0
47.0,3.0,1.0,2015-07-16,2015-07-16,0.0,74.4212626667,1.0
48.0,3.0,1.0,2015-07-16,2015-07-16,0.0,339.904666167,1.0
50.0,2.0,1.0,2015-04-20,2015-03-04,47.0,2426.074091,30.0
51.0,1.0,1.0,2014-12-23,2014-11-10,43.0,1832.23489033,16.0
52.0,1.0,1.0,2015-02-16,2014-12-07,71.0,2730.508546,28.0
53.0,2.0,1.0,2015-06-11,2014-11-14,209.0,2227.1380295,23.0
54.0,2.0,1.0,2015-02-11,2014-12-03,70.0,1590.372741,31.0
55.0,1.0,1.0,2015-07-21,2015-05-29,53.0,3219.42222033,39.0
56.0,2.0,1.0,2015-04-15,2015-01-07,98.0,2879.35409483,40.0
57.0,4.0,1.0,2015-01-16,2014-11-11,66.0,4012.6486995,44.0
58.0,2.0,1.0,2015-06-19,2015-05-09,41.0,3692.8086975,36.0
59.0,1.0,1.0,2015-03-09,2015-01-10,58.0,1447.1798485,21.0
60.0,1.0,1.0,2015-02-14,2014-11-10,96.0,1979.9219565,15.0
61.0,3.0,1.0,2015-06-28,2015-05-12,47.0,1399.2466605,26.0
62.0,2.0,1.0,2015-02-13,2014-12-08,67.0,2369.9225095,15.0
63.0,3.0,1.0,2015-06-14,2015-05-28,17.0,1034.67738233,9.0
64.0,1.0,1.0,2014-12-30,2014-12-06,24.0,876.330489667,8.0
