account_key,join_date,join_year,join_month,join_day
60,2015-04-01,2015,4,1
369,2014-11-10,2014,11,10
322,2015-03-10,2015,3,10
336,2014-11-10,2014,11,10
553,2014-11-10,2014,11,10
584,2015-03-10,2015,3,10
458,2015-04-06,2015,4,6
1058,2015-03-10,2015,3,10
206,2014-11-10,2014,11,10
45,2015-03-10,2015,3,10
604,2014-11-10,2014,11,10
204,2014-11-10,2014,11,10
568,2014-11-10,2014,11,10
44,2015-03-10,2015,3,10
198,2014-11-10,2014,11,10
368,2014-11-10,2014,11,10
57,2015-05-06,2015,5,6
702,2015-03-10,2015,3,10
38,2014-11-14,2014,11,14
215,2014-11-14,2014,11,14
217,2015-03-10,2015,3,10
1211,2015-03-06,2015,3,6
53,2015-05-11,2015,5,11
283,2014-11-15,2014,11,15
338,2015-05-11,2015,5,11
579,2014-11-15,2014,11,15
627,2014-11-16,2014,11,16
253,2015-01-14,2015,1,14
822,2015-07-18,2015,7,18
96,2014-11-17,2014,11,17
620,2014-11-10,2014,11,10
195,2014-11-10,2014,11,10
354,2014-11-10,2014,11,10
114,2015-05-08,2015,5,8
537,2014-11-10,2014,11,10
1244,2015-03-10,2015,3,10
194,2014-11-10,2014,11,10
102,2014-11-10,2014,11,10
522,2014-11-10,2014,11,10
329,2015-04-08,2015,4,8
225,2014-11-10,2014,11,10
595,2014-11-10,2014,11,10
587,2015-05-28,2015,5,28
439,2015-03-10,2015,3,10
428,2014-11-10,2014,11,10
10,2014-11-10,2014,11,10
23,2014-11-10,2014,11,10
223,2014-11-10,2014,11,10
480,2015-04-01,2015,4,1
275,2014-11-16,2014,11,16
245,2014-11-14,2014,11,14
135,2014-11-14,2014,11,14
37,2014-11-14,2014,11,14
186,2014-11-14,2014,11,14
389,2014-11-15,2014,11,15
88,2015-04-01,2015,4,1
590,2015-05-11,2015,5,11
300,2014-12-03,2014,12,3
54,2014-12-03,2014,12,3
278,2014-12-04,2014,12,4
377,2014-12-05,2014,12,5
342,2014-12-05,2014,12,5
358,2014-12-05,2014,12,5
347,2015-04-05,2015,4,5
295,2015-04-03,2015,4,3
502,2014-12-08,2014,12,8
495,2014-12-04,2014,12,4
364,2014-12-05,2014,12,5
524,2015-03-04,2015,3,4
560,2014-12-06,2014,12,6
570,2014-12-07,2014,12,7
581,2014-12-07,2014,12,7
896,2015-04-08,2015,4,8
346,2014-12-08,2014,12,8
557,2015-03-10,2015,3,10
1124,2015-04-08,2015,4,8
350,2015-01-07,2015,1,7
345,2015-01-07,2015,1,7
530,2015-01-07,2015,1,7
383,2015-01-07,2015,1,7
356,2015-01-09,2015,1,9
91,2015-03-10,2015,3,10
12,2014-11-10,2014,11,10
3,2015-03-10,2015,3,10
224,2014-11-10,2014,11,10
562,2014-11-10,2014,11,10
1098,2014-11-10,2014,11,10
412,2015-04-01,2015,4,1
390,2014-11-10,2014,11,10
81,2014-11-10,2014,11,10
234,2014-11-11,2014,11,11
273,2014-11-14,2014,11,14
76,2015-01-15,2015,1,15
131,2014-11-14,2014,11,14
231,2014-11-14,2014,11,14
327,2014-11-14,2014,11,14
277,2014-11-15,2014,11,15
280,2014-11-15,2014,11,15
308,2014-11-16,2014,11,16
202,2014-12-03,2014,12,3
643,2015-04-18,2015,4,18
244,2014-12-04,2014,12,4
500,2015-02-03,2015,2,3
209,2014-12-05,2014,12,5
292,2014-12-05,2014,12,5
546,2014-12-05,2014,12,5
747,2015-04-02,2015,4,2
450,2014-12-07,2014,12,7
461,2014-12-08,2014,12,8
66,2015-01-07,2015,1,7
791,2015-01-08,2015,1,8
507,2015-03-10,2015,3,10
488,2015-01-09,2015,1,9
263,2015-08-12,2015,8,12
598,2015-01-12,2015,1,12
28,2015-01-12,2015,1,12
166,2014-12-08,2014,12,8
966,2015-03-10,2015,3,10
442,2015-03-10,2015,3,10
442,2015-05-14,2015,5,14
592,2015-01-07,2015,1,7
34,2015-02-03,2015,2,3
0,2015-01-09,2015,1,9
527,2015-01-09,2015,1,9
227,2015-04-08,2015,4,8
599,2015-04-02,2015,4,2
181,2015-03-10,2015,3,10
126,2014-11-14,2014,11,14
254,2014-11-14,2014,11,14
334,2015-03-10,2015,3,10
469,2014-11-16,2014,11,16
33,2015-01-12,2015,1,12
250,2015-01-12,2015,1,12
486,2015-01-12,2015,1,12
