account_key,join_date,join_year,join_month,join_day,days_active
60,2015-04-01,2015,4,1,144
369,2014-11-10,2014,11,10,286
322,2015-03-10,2015,3,10,166
336,2014-11-10,2014,11,10,286
553,2014-11-10,2014,11,10,286
584,2015-03-10,2015,3,10,166
458,2015-04-06,2015,4,6,139
1058,2015-03-10,2015,3,10,166
206,2014-11-10,2014,11,10,286
45,2015-03-10,2015,3,10,166
604,2014-11-10,2014,11,10,286
204,2014-11-10,2014,11,10,286
568,2014-11-10,2014,11,10,286
44,2015-03-10,2015,3,10,166
198,2014-11-10,2014,11,10,286
368,2014-11-10,2014,11,10,286
57,2015-05-06,2015,5,6,109
702,2015-03-10,2015,3,10,166
38,2014-11-14,2014,11,14,282
215,2014-11-14,2014,11,14,282
217,2015-03-10,2015,3,10,166
1211,2015-03-06,2015,3,6,170
53,2015-05-11,2015,5,11,104
283,2014-11-15,2014,11,15,281
338,2015-05-11,2015,5,11,104
579,2014-11-15,2014,11,15,281
627,2014-11-16,2014,11,16,280
253,2015-01-14,2015,1,14,221
822,2015-07-18,2015,7,18,36
96,2014-11-17,2014,11,17,279
620,2014-11-10,2014,11,10,286
195,2014-11-10,2014,11,10,286
354,2014-11-10,2014,11,10,286
114,2015-05-08,2015,5,8,107
537,2014-11-10,2014,11,10,286
1244,2015-03-10,2015,3,10,166
194,2014-11-10,2014,11,10,286
102,2014-11-10,2014,11,10,286
522,2014-11-10,2014,11,10,286
329,2015-04-08,2015,4,8,137
225,2014-11-10,2014,11,10,286
595,2014-11-10,2014,11,10,286
587,2015-05-28,2015,5,28,87
439,2015-03-10,2015,3,10,166
428,2014-11-10,2014,11,10,286
10,2014-11-10,2014,11,10,286
23,2014-11-10,2014,11,10,286
223,2014-11-10,2014,11,10,286
480,2015-04-01,2015,4,1,144
275,2014-11-16,2014,11,16,280
245,2014-11-14,2014,11,14,282
135,2014-11-14,2014,11,14,282
37,2014-11-14,2014,11,14,282
186,2014-11-14,2014,11,14,282
389,2014-11-15,2014,11,15,281
88,2015-04-01,2015,4,1,144
590,2015-05-11,2015,5,11,104
300,2014-12-03,2014,12,3,263
54,2014-12-03,2014,12,3,263
278,2014-12-04,2014,12,4,262
377,2014-12-05,2014,12,5,261
342,2014-12-05,2014,12,5,261
358,2014-12-05,2014,12,5,261
347,2015-04-05,2015,4,5,140
295,2015-04-03,2015,4,3,142
502,2014-12-08,2014,12,8,258
495,2014-12-04,2014,12,4,262
364,2014-12-05,2014,12,5,261
524,2015-03-04,2015,3,4,172
560,2014-12-06,2014,12,6,260
570,2014-12-07,2014,12,7,259
581,2014-12-07,2014,12,7,259
896,2015-04-08,2015,4,8,137
346,2014-12-08,2014,12,8,258
557,2015-03-10,2015,3,10,166
1124,2015-04-08,2015,4,8,137
350,2015-01-07,2015,1,7,228
345,2015-01-07,2015,1,7,228
530,2015-01-07,2015,1,7,228
383,2015-01-07,2015,1,7,228
356,2015-01-09,2015,1,9,226
91,2015-03-10,2015,3,10,166
12,2014-11-10,2014,11,10,286
3,2015-03-10,2015,3,10,166
224,2014-11-10,2014,11,10,286
562,2014-11-10,2014,11,10,286
1098,2014-11-10,2014,11,10,286
412,2015-04-01,2015,4,1,144
390,2014-11-10,2014,11,10,286
81,2014-11-10,2014,11,10,286
234,2014-11-11,2014,11,11,285
273,2014-11-14,2014,11,14,282
76,2015-01-15,2015,1,15,220
131,2014-11-14,2014,11,14,282
231,2014-11-14,2014,11,14,282
327,2014-11-14,2014,11,14,282
277,2014-11-15,2014,11,15,281
280,2014-11-15,2014,11,15,281
308,2014-11-16,2014,11,16,280
202,2014-12-03,2014,12,3,263
643,2015-04-18,2015,4,18,127
244,2014-12-04,2014,12,4,262
500,2015-02-03,2015,2,3,201
209,2014-12-05,2014,12,5,261
292,2014-12-05,2014,12,5,261
546,2014-12-05,2014,12,5,261
747,2015-04-02,2015,4,2,143
450,2014-12-07,2014,12,7,259
461,2014-12-08,2014,12,8,258
66,2015-01-07,2015,1,7,228
791,2015-01-08,2015,1,8,227
507,2015-03-10,2015,3,10,166
488,2015-01-09,2015,1,9,226
263,2015-08-12,2015,8,12,11
598,2015-01-12,2015,1,12,223
28,2015-01-12,2015,1,12,223
166,2014-12-08,2014,12,8,258
966,2015-03-10,2015,3,10,166
442,2015-03-10,2015,3,10,166
442,2015-05-14,2015,5,14,101
592,2015-01-07,2015,1,7,228
34,2015-02-03,2015,2,3,201
0,2015-01-09,2015,1,9,226
527,2015-01-09,2015,1,9,226
227,2015-04-08,2015,4,8,137
599,2015-04-02,2015,4,2,143
181,2015-03-10,2015,3,10,166
126,2014-11-14,2014,11,14,282
254,2014-11-14,2014,11,14,282
334,2015-03-10,2015,3,10,166
469,2014-11-16,2014,11,16,280
33,2015-01-12,2015,1,12,223
250,2015-01-12,2015,1,12,223
486,2015-01-12,2015,1,12,223
567,2015-01-12,2015,1,12,223
371,2015-01-13,2015,1,13,222
923,2015-03-10,2015,3,10,166
640,2015-04-01,2015,4,1,144
529,2015-02-03,2015,2,3,201
222,2014-11-17,2014,11,17,279
288,2014-12-03,2014,12,3,263
523,2015-03-10,2015,3,10,166
397,2015-04-01,2015,4,1,144
1181,2014-12-05,2014,12,5,261
193,2015-04-01,2015,4,1,144
180,2015-04-08,2015,4,8,137
125,2015-01-13,2015,1,13,222
140,2015-01-14,2015,1,14,221
388,2015-02-03,2015,2,3,201
147,2015-02-03,2015,2,3,201
119,2015-04-08,2015,4,8,137
97,2015-04-08,2015,4,8,137
984,2015-08-13,2015,8,13,10
444,2015-04-08,2015,4,8,137
493,2015-02-05,2015,2,5,199
435,2015-02-06,2015,2,6,198
156,2014-11-10,2014,11,10,286
145,2014-11-10,2014,11,10,286
420,2014-11-10,2014,11,10,286
582,2014-11-10,2014,11,10,286
90,2015-04-01,2015,4,1,144
328,2014-11-10,2014,11,10,286
617,2014-11-12,2014,11,12,284
159,2015-02-12,2015,2,12,192
561,2015-02-05,2015,2,5,199
352,2015-02-05,2015,2,5,199
374,2015-02-06,2015,2,6,198
857,2015-04-08,2015,4,8,137
138,2015-04-08,2015,4,8,137
50,2015-03-04,2015,3,4,172
607,2015-03-05,2015,3,5,171
251,2015-04-08,2015,4,8,137
564,2015-04-08,2015,4,8,137
70,2015-02-09,2015,2,9,195
494,2015-02-09,2015,2,9,195
603,2015-02-09,2015,2,9,195
307,2015-02-10,2015,2,10,194
337,2015-02-10,2015,2,10,194
30,2015-02-10,2015,2,10,194
82,2015-03-05,2015,3,5,171
348,2015-03-05,2015,3,5,171
139,2015-03-06,2015,3,6,170
185,2015-04-01,2015,4,1,144
281,2014-11-14,2014,11,14,282
191,2015-03-10,2015,3,10,166
415,2015-03-10,2015,3,10,166
836,2015-07-16,2015,7,16,38
319,2014-12-30,2014,12,30,236
285,2015-03-10,2015,3,10,166
71,2015-04-07,2015,4,7,138
1073,2015-01-07,2015,1,7,228
421,2015-01-08,2015,1,8,227
9,2015-01-08,2015,1,8,227
144,2015-03-06,2015,3,6,170
344,2015-01-11,2015,1,11,224
517,2015-03-06,2015,3,6,170
586,2015-03-10,2015,3,10,166
492,2015-03-10,2015,3,10,166
1259,2015-03-10,2015,3,10,166
149,2015-03-11,2015,3,11,165
78,2015-04-01,2015,4,1,144
558,2015-04-01,2015,4,1,144
246,2015-04-01,2015,4,1,144
455,2015-04-01,2015,4,1,144
106,2015-03-10,2015,3,10,166
591,2015-04-01,2015,4,1,144
31,2015-03-10,2015,3,10,166
906,2015-03-10,2015,3,10,166
601,2015-03-10,2015,3,10,166
321,2015-07-09,2015,7,9,45
571,2015-04-01,2015,4,1,144
1267,2015-04-02,2015,4,2,143
392,2015-04-02,2015,4,2,143
578,2015-04-02,2015,4,2,143
86,2015-04-02,2015,4,2,143
158,2015-04-04,2015,4,4,141
642,2015-01-11,2015,1,11,224
214,2015-01-12,2015,1,12,223
1242,2015-03-10,2015,3,10,166
168,2015-04-08,2015,4,8,137
152,2014-11-17,2014,11,17,279
539,2014-12-03,2014,12,3,263
1251,2014-12-05,2014,12,5,261
613,2014-12-05,2014,12,5,261
453,2014-12-08,2014,12,8,258
380,2014-12-08,2014,12,8,258
451,2015-04-01,2015,4,1,144
625,2015-04-02,2015,4,2,143
1154,2015-04-05,2015,4,5,140
853,2015-07-17,2015,7,17,37
690,2015-04-08,2015,4,8,137
424,2015-04-06,2015,4,6,139
379,2015-04-07,2015,4,7,138
395,2015-04-08,2015,4,8,137
1299,2015-04-08,2015,4,8,137
589,2015-04-08,2015,4,8,137
433,2015-04-08,2015,4,8,137
555,2015-04-09,2015,4,9,136
676,2015-04-13,2015,4,13,132
127,2015-04-24,2015,4,24,121
201,2015-04-24,2015,4,24,121
396,2015-04-24,2015,4,24,121
267,2015-04-24,2015,4,24,121
240,2015-04-24,2015,4,24,121
647,2015-05-06,2015,5,6,109
559,2015-05-07,2015,5,7,108
476,2015-05-08,2015,5,8,107
516,2015-05-11,2015,5,11,104
77,2015-01-07,2015,1,7,228
56,2015-01-07,2015,1,7,228
207,2015-01-07,2015,1,7,228
103,2015-01-07,2015,1,7,228
460,2015-05-07,2015,5,7,108
446,2015-01-07,2015,1,7,228
232,2015-01-08,2015,1,8,227
515,2015-01-08,2015,1,8,227
59,2015-01-10,2015,1,10,225
900,2015-05-11,2015,5,11,104
357,2015-01-11,2015,1,11,224
279,2015-04-08,2015,4,8,137
136,2015-04-08,2015,4,8,137
306,2015-04-08,2015,4,8,137
436,2015-02-08,2015,2,8,196
35,2015-02-08,2015,2,8,196
463,2015-02-09,2015,2,9,195
284,2015-04-08,2015,4,8,137
239,2015-03-04,2015,3,4,172
475,2015-05-09,2015,5,9,106
276,2015-05-10,2015,5,10,105
608,2015-05-10,2015,5,10,105
341,2015-05-10,2015,5,10,105
501,2015-05-11,2015,5,11,104
25,2015-05-12,2015,5,12,103
