account_key,join_date,join_year,join_month,join_day,days_active
1263,2015-08-16,2015,8,16,7
1136,2015-08-18,2015,8,18,5
1144,2015-08-18,2015,8,18,5
142,2015-08-19,2015,8,19,4
1228,2015-08-19,2015,8,19,4
967,2015-08-21,2015,8,21,2
754,2015-08-21,2015,8,21,2
851,2015-08-22,2015,8,22,1
990,2015-08-23,2015,8,23,0
784,2015-08-17,2015,8,17,6
893,2015-08-18,2015,8,18,5
840,2015-08-21,2015,8,21,2
975,2015-08-23,2015,8,23,0
1028,2015-08-21,2015,8,21,2
854,2015-08-23,2015,8,23,0
880,2015-08-23,2015,8,23,0
1022,2015-08-20,2015,8,20,3
816,2015-08-20,2015,8,20,3
1269,2015-08-21,2015,8,21,2
1067,2015-08-22,2015,8,22,1
1157,2015-08-22,2015,8,22,1
874,2015-08-22,2015,8,22,1
686,2015-08-23,2015,8,23,0
