account_key,cancel_date,days_to_cancel,join_date,cancel_year,cancel_month,cancel_day,join_year,join_month,join_day
114.0,2014-11-11,1,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
144.0,2015-01-10,1,2015-01-09,0.0,0.0,0.0,0.0,0.0,0.0
275.0,2014-11-16,4,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
283.0,2014-11-15,2,2014-11-13,0.0,0.0,0.0,0.0,0.0,0.0
295.0,2014-12-07,0,2014-12-07,0.0,0.0,0.0,0.0,0.0,0.0
346.0,2014-12-05,0,2014-12-05,0.0,0.0,0.0,0.0,0.0,0.0
379.0,2015-01-12,0,2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0
389.0,2014-11-15,1,2014-11-14,0.0,0.0,0.0,0.0,0.0,0.0
405.0,2015-06-04,1,2015-06-03,0.0,0.0,0.0,0.0,0.0,0.0
488.0,2014-11-20,5,2014-11-15,0.0,0.0,0.0,0.0,0.0,0.0
494.0,2014-11-17,7,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
495.0,2014-11-17,5,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
502.0,2014-11-21,6,2014-11-15,0.0,0.0,0.0,0.0,0.0,0.0
516.0,2014-12-11,2,2014-12-09,0.0,0.0,0.0,0.0,0.0,0.0
653.0,2015-03-05,0,2015-03-05,0.0,0.0,0.0,0.0,0.0,0.0
654.0,2014-12-04,1,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
658.0,2015-04-10,4,2015-04-06,0.0,0.0,0.0,0.0,0.0,0.0
659.0,2015-03-15,5,2015-03-10,0.0,0.0,0.0,0.0,0.0,0.0
662.0,2015-07-21,4,2015-07-17,0.0,0.0,0.0,0.0,0.0,0.0
664.0,2015-01-08,0,2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0
675.0,2014-11-16,5,2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0
677.0,2015-04-14,6,2015-04-08,0.0,0.0,0.0,0.0,0.0,0.0
679.0,2015-06-13,5,2015-06-08,0.0,0.0,0.0,0.0,0.0,0.0
680.0,2015-03-12,3,2015-03-09,0.0,0.0,0.0,0.0,0.0,0.0
683.0,2014-11-15,1,2014-11-14,0.0,0.0,0.0,0.0,0.0,0.0
684.0,2014-11-21,5,2014-11-16,0.0,0.0,0.0,0.0,0.0,0.0
