account_key,join_date,cancel_date,days_active,status
0,2015-01-09,2015-08-27,231,1
1,2015-05-06,2015-08-27,114,1
2,2015-06-08,2015-08-27,81,1
3,2014-11-10,2015-08-27,291,1
4,2015-05-12,2015-08-27,108,1
5,2015-01-07,2015-04-16,100,0
6,2015-06-05,2015-08-27,84,1
7,2015-05-12,2015-08-27,108,1
8,2015-05-06,2015-08-27,114,1
9,2015-01-08,2015-08-27,232,1
10,2014-11-10,2015-08-27,291,1
11,2015-04-24,2015-08-27,126,1
12,2014-11-10,2015-08-27,291,1
13,2015-04-01,2015-08-27,149,1
14,2015-06-03,2015-08-27,86,1
15,2015-01-12,2015-08-11,212,0
16,2015-05-13,2015-08-27,107,1
17,2015-05-11,2015-08-27,109,1
18,2014-11-10,2015-02-17,100,0
19,2015-04-06,2015-07-13,99,0
20,2015-05-11,2015-08-27,109,1
21,2015-07-17,2015-08-27,42,1
22,2015-04-03,2015-08-27,147,1
23,2014-11-10,2015-08-27,291,1
24,2014-12-03,2015-06-10,190,0
25,2014-11-11,2015-08-27,290,1
26,2015-02-11,2015-08-27,198,1
27,2015-05-11,2015-08-27,109,1
28,2015-01-12,2015-08-27,228,1
29,2015-07-16,2015-08-27,43,1
30,2015-02-10,2015-08-27,199,1
31,2014-11-10,2015-08-27,291,1
32,2015-01-08,2015-08-27,232,1
33,2015-01-12,2015-08-27,228,1
34,2014-11-16,2015-08-27,285,1
35,2015-02-08,2015-08-27,201,1
36,2015-05-13,2015-08-27,107,1
37,2014-11-14,2015-08-27,287,1
38,2014-11-14,2015-08-27,287,1
39,2015-07-17,2015-08-27,42,1
40,2015-07-15,2015-08-27,44,1
41,2015-05-13,2015-08-27,107,1
42,2015-03-04,2015-08-27,177,1
43,2014-12-08,2015-03-30,113,0
44,2014-11-10,2015-08-27,291,1
45,2014-11-10,2015-08-27,291,1
46,2014-12-08,2015-08-27,263,1
47,2015-07-16,2015-08-27,43,1
48,2015-07-16,2015-08-27,43,1
49,2015-04-24,2015-08-27,126,1
50,2015-03-04,2015-08-27,177,1
51,2014-11-10,2015-06-17,220,0
52,2014-12-07,2015-03-14,98,0
53,2014-11-14,2015-08-27,287,1
54,2014-12-03,2015-08-27,268,1
55,2015-05-29,2015-08-27,91,1
56,2015-01-07,2015-08-27,233,1
57,2014-11-11,2015-08-27,290,1
58,2015-05-09,2015-08-27,111,1
59,2015-01-10,2015-08-27,230,1
60,2014-11-10,2015-08-27,291,1
61,2015-05-12,2015-08-27,108,1
62,2014-12-08,2015-07-15,220,0
63,2015-05-28,2015-08-27,92,1
64,2014-12-06,2015-04-13,129,0
65,2014-11-16,2015-02-23,100,0
66,2015-01-07,2015-08-27,233,1
67,2015-01-07,2015-03-14,67,0
68,2015-05-13,2015-08-27,107,1
69,2014-11-17,2015-05-24,189,0
70,2015-02-09,2015-08-27,200,1
71,2015-01-07,2015-08-27,233,1
72,2014-11-10,2015-05-17,189,0
73,2015-05-28,2015-08-27,92,1
74,2014-11-15,2015-04-23,160,0
75,2015-04-01,2015-08-27,149,1
76,2014-11-14,2015-08-27,287,1
77,2015-01-07,2015-08-27,233,1
78,2014-12-08,2015-08-27,263,1
79,2014-12-09,2015-07-16,220,0
80,2015-06-07,2015-08-27,82,1
81,2014-11-10,2015-08-27,291,1
82,2015-03-05,2015-08-27,176,1
83,2015-06-06,2015-08-27,83,1
84,2015-05-06,2015-08-27,114,1
85,2014-11-11,2015-03-27,137,0
86,2015-04-02,2015-08-27,148,1
87,2015-01-12,2015-08-27,228,1
88,2014-11-15,2015-08-27,286,1
89,2015-05-07,2015-08-27,113,1
90,2014-11-10,2015-08-27,291,1
91,2014-11-10,2015-08-27,291,1
92,2014-11-12,2015-07-19,250,0
93,2015-01-07,2015-04-14,98,0
94,2015-04-24,2015-08-27,126,1
96,2014-11-17,2015-08-27,284,1
97,2015-02-05,2015-08-27,204,1
98,2015-04-02,2015-07-09,99,0
99,2015-01-13,2015-08-20,220,0
100,2015-02-05,2015-08-27,204,1
101,2014-11-12,2015-04-20,160,0
