account_key,join_date,cancel_date,days_active,status
0,2015-01-09,2015-08-27,230,1
1,2015-05-06,2015-08-27,113,1
2,2015-06-08,2015-08-27,80,1
3,2014-11-10,2015-08-27,290,1
4,2015-05-12,2015-08-27,107,1
5,2015-01-07,2015-04-16,99,0
6,2015-06-05,2015-08-27,83,1
7,2015-05-12,2015-08-27,107,1
8,2015-05-06,2015-08-27,113,1
9,2015-01-08,2015-08-27,231,1
10,2014-11-10,2015-08-27,290,1
11,2015-04-24,2015-08-27,125,1
12,2014-11-10,2015-08-27,290,1
13,2015-04-01,2015-08-27,148,1
14,2015-06-03,2015-08-27,85,1
15,2015-01-12,2015-08-11,211,0
16,2015-05-13,2015-08-27,106,1
17,2015-05-11,2015-08-27,108,1
18,2014-11-10,2015-02-17,99,0
19,2015-04-06,2015-07-13,98,0
20,2015-05-11,2015-08-27,108,1
21,2015-07-17,2015-08-27,41,1
22,2015-04-03,2015-08-27,146,1
23,2014-11-10,2015-08-27,290,1
24,2014-12-03,2015-06-10,189,0
25,2014-11-11,2015-08-27,289,1
26,2015-02-11,2015-08-27,197,1
27,2015-05-11,2015-08-27,108,1
28,2015-01-12,2015-08-27,227,1
29,2015-07-16,2015-08-27,42,1
30,2015-02-10,2015-08-27,198,1
31,2014-11-10,2015-08-27,290,1
32,2015-01-08,2015-08-27,231,1
33,2015-01-12,2015-08-27,227,1
34,2014-11-16,2015-08-27,284,1
35,2015-02-08,2015-08-27,200,1
36,2015-05-13,2015-08-27,106,1
37,2014-11-14,2015-08-27,286,1
38,2014-11-14,2015-08-27,286,1
39,2015-07-17,2015-08-27,41,1
40,2015-07-15,2015-08-27,43,1
41,2015-05-13,2015-08-27,106,1
42,2015-03-04,2015-08-27,176,1
43,2014-12-08,2015-03-30,112,0
44,2014-11-10,2015-08-27,290,1
45,2014-11-10,2015-08-27,290,1
46,2014-12-08,2015-08-27,262,1
47,2015-07-16,2015-08-27,42,1
48,2015-07-16,2015-08-27,42,1
49,2015-04-24,2015-08-27,125,1
50,2015-03-04,2015-08-27,176,1
51,2014-11-10,2015-06-17,219,0
52,2014-12-07,2015-03-14,97,0
53,2014-11-14,2015-08-27,286,1
54,2014-12-03,2015-08-27,267,1
55,2015-05-29,2015-08-27,90,1
56,2015-01-07,2015-08-27,232,1
57,2014-11-11,2015-08-27,289,1
58,2015-05-09,2015-08-27,110,1
59,2015-01-10,2015-08-27,229,1
60,2014-11-10,2015-08-27,290,1
61,2015-05-12,2015-08-27,107,1
62,2014-12-08,2015-07-15,219,0
63,2015-05-28,2015-08-27,91,1
64,2014-12-06,2015-04-13,128,0
65,2014-11-16,2015-02-23,99,0
66,2015-01-07,2015-08-27,232,1
67,2015-01-07,2015-03-14,66,0
68,2015-05-13,2015-08-27,106,1
69,2014-11-17,2015-05-24,188,0
70,2015-02-09,2015-08-27,199,1
71,2015-01-07,2015-08-27,232,1
72,2014-11-10,2015-05-17,188,0
73,2015-05-28,2015-08-27,91,1
74,2014-11-15,2015-04-23,159,0
75,2015-04-01,2015-08-27,148,1
76,2014-11-14,2015-08-27,286,1
77,2015-01-07,2015-08-27,232,1
78,2014-12-08,2015-08-27,262,1
79,2014-12-09,2015-07-16,219,0
80,2015-06-07,2015-08-27,81,1
81,2014-11-10,2015-08-27,290,1
82,2015-03-05,2015-08-27,175,1
83,2015-06-06,2015-08-27,82,1
84,2015-05-06,2015-08-27,113,1
85,2014-11-11,2015-03-27,136,0
86,2015-04-02,2015-08-27,147,1
87,2015-01-12,2015-08-27,227,1
88,2014-11-15,2015-08-27,285,1
89,2015-05-07,2015-08-27,112,1
90,2014-11-10,2015-08-27,290,1
91,2014-11-10,2015-08-27,290,1
92,2014-11-12,2015-07-19,249,0
93,2015-01-07,2015-04-14,97,0
94,2015-04-24,2015-08-27,125,1
96,2014-11-17,2015-08-27,283,1
97,2015-02-05,2015-08-27,203,1
98,2015-04-02,2015-07-09,98,0
99,2015-01-13,2015-08-20,219,0
100,2015-02-05,2015-08-27,203,1
101,2014-11-12,2015-04-20,159,0
102,2014-11-10,2015-08-27,290,1
103,2015-01-07,2015-08-27,232,1
104,2015-04-10,2015-08-27,139,1
105,2015-04-07,2015-05-14,37,0
106,2014-11-11,2015-08-27,289,1
107,2015-04-24,2015-08-27,125,1
108,2015-01-07,2015-05-14,127,0
109,2015-05-06,2015-08-27,113,1
110,2014-12-03,2015-05-10,158,0
111,2014-12-07,2015-03-01,84,0
112,2015-05-08,2015-08-27,111,1
113,2015-03-04,2015-07-11,129,0
114,2014-11-10,2015-08-27,290,1
115,2015-01-11,2015-08-27,228,1
116,2015-05-06,2015-08-27,113,1
117,2015-04-08,2015-08-27,141,1
118,2015-04-06,2015-08-27,143,1
119,2014-12-03,2015-08-27,267,1
120,2015-05-11,2015-08-27,108,1
121,2015-06-07,2015-08-27,81,1
122,2015-07-17,2015-08-27,41,1
123,2014-11-10,2015-04-17,158,0
124,2015-05-31,2015-08-27,88,1
125,2015-01-13,2015-08-27,226,1
126,2014-11-14,2015-08-27,286,1
127,2015-04-24,2015-08-27,125,1
128,2015-06-08,2015-08-27,80,1
129,2015-05-11,2015-08-27,108,1
130,2014-11-10,2015-06-17,219,0
131,2014-11-14,2015-08-27,286,1
132,2015-03-04,2015-06-11,99,0
133,2015-06-08,2015-08-27,80,1
134,2015-02-05,2015-06-12,127,0
135,2014-11-14,2015-08-27,286,1
136,2015-02-05,2015-08-27,203,1
137,2014-12-06,2015-08-27,264,1
138,2015-02-10,2015-08-27,198,1
139,2015-03-06,2015-08-27,174,1
140,2014-11-10,2015-08-27,290,1
141,2015-03-07,2015-05-14,68,0
142,2015-01-12,2015-08-27,227,1
143,2015-02-09,2015-06-16,127,0
144,2015-01-09,2015-08-27,230,1
145,2014-11-10,2015-08-27,290,1
146,2015-04-24,2015-08-27,125,1
147,2014-12-03,2015-08-27,267,1
148,2014-11-11,2015-04-18,158,0
149,2015-03-11,2015-08-27,169,1
150,2014-11-10,2015-05-17,188,0
151,2015-01-11,2015-04-02,81,0
152,2014-11-17,2015-08-27,283,1
153,2014-12-07,2015-07-14,219,0
154,2015-05-09,2015-08-27,110,1
155,2014-11-14,2015-08-27,286,1
156,2014-11-10,2015-08-27,290,1
157,2014-11-10,2015-07-17,249,0
158,2015-04-04,2015-08-27,145,1
159,2014-12-09,2015-08-27,261,1
160,2014-11-11,2015-02-18,99,0
161,2014-11-12,2015-05-19,188,0
162,2015-05-11,2015-08-27,108,1
163,2015-07-09,2015-08-27,49,1
164,2015-07-16,2015-08-27,42,1
165,2014-11-10,2015-03-17,127,0
166,2014-12-08,2015-08-27,262,1
167,2015-04-24,2015-08-27,125,1
168,2015-01-12,2015-08-27,227,1
169,2014-12-09,2015-08-12,246,0
170,2015-01-09,2015-08-16,219,0
171,2015-03-08,2015-06-15,99,0
172,2015-03-10,2015-08-27,170,1
173,2015-05-07,2015-08-27,112,1
174,2014-12-03,2015-03-10,97,0
175,2015-05-09,2015-08-27,110,1
176,2015-07-08,2015-08-27,50,1
177,2015-04-10,2015-08-27,139,1
178,2014-11-17,2015-05-09,173,0
179,2014-11-10,2015-03-17,127,0
180,2015-01-12,2015-08-27,227,1
181,2014-11-13,2015-08-27,287,1
182,2015-05-08,2015-08-27,111,1
183,2015-04-01,2015-08-27,148,1
184,2015-05-12,2015-08-27,107,1
185,2014-11-12,2015-08-27,288,1
186,2014-11-14,2015-08-27,286,1
187,2014-11-12,2015-04-19,158,0
188,2014-11-16,2015-08-27,284,1
189,2015-05-12,2015-08-27,107,1
190,2015-02-11,2015-08-27,197,1
191,2014-11-16,2015-08-27,284,1
