account_key,join_date,cancel_date,days_active,status
654,2014-12-03,2014-12-04,1,0
658,2015-04-06,2015-04-10,4,0
659,2015-03-10,2015-03-15,5,0
662,2015-07-17,2015-07-21,4,0
664,2015-01-08,2015-01-08,0,0
675,2014-11-11,2014-11-16,5,0
677,2015-04-08,2015-04-14,6,0
679,2015-06-08,2015-06-13,5,0
680,2015-03-09,2015-03-12,3,0
683,2014-11-14,2014-11-15,1,0
684,2014-11-16,2014-11-21,5,0
685,2015-03-10,2015-03-17,7,0
686,2015-08-23,2015-08-27,4,1
688,2015-01-09,2015-01-11,2,0
691,2015-01-07,2015-01-10,3,0
695,2014-12-09,2014-12-15,6,0
699,2015-08-11,2015-08-18,7,0
700,2014-11-10,2014-11-16,6,0
701,2015-07-16,2015-07-20,4,0
703,2015-03-06,2015-03-09,3,0
707,2014-12-03,2014-12-03,0,0
708,2015-06-05,2015-06-10,5,0
711,2015-05-08,2015-05-08,0,0
716,2015-02-11,2015-02-15,4,0
717,2014-12-04,2014-12-04,0,0
723,2015-04-03,2015-04-06,3,0
724,2015-01-12,2015-01-18,6,0
725,2014-12-06,2014-12-06,0,0
727,2014-12-07,2014-12-07,0,0
728,2014-12-05,2014-12-05,0,0
731,2015-06-03,2015-06-07,4,0
733,2015-01-12,2015-01-12,0,0
734,2015-05-13,2015-05-17,4,0
737,2014-11-10,2014-11-10,0,0
738,2015-02-07,2015-02-13,6,0
739,2015-04-05,2015-04-05,0,0
740,2014-11-11,2014-11-15,4,0
741,2015-02-09,2015-02-15,6,0
745,2014-11-11,2014-11-13,2,0
749,2015-03-05,2015-03-05,0,0
750,2015-06-06,2015-06-06,0,0
754,2015-08-21,2015-08-27,6,1
758,2015-05-12,2015-05-17,5,0
760,2014-11-10,2014-11-13,3,0
763,2015-06-08,2015-06-14,6,0
765,2015-01-13,2015-01-18,5,0
766,2015-05-10,2015-05-10,0,0
767,2014-12-08,2014-12-11,3,0
768,2015-03-10,2015-03-11,1,0
770,2014-11-15,2014-11-19,4,0
772,2015-05-12,2015-05-19,7,0
774,2015-01-11,2015-01-15,4,0
775,2015-07-17,2015-07-24,7,0
783,2015-07-13,2015-07-19,6,0
788,2015-04-01,2015-04-06,5,0
789,2015-02-06,2015-02-06,0,0
790,2014-12-09,2014-12-15,6,0
795,2015-03-09,2015-03-13,4,0
799,2015-02-06,2015-02-06,0,0
802,2015-01-08,2015-01-08,0,0
803,2015-01-08,2015-01-08,0,0
807,2015-07-20,2015-07-22,2,0
809,2015-03-10,2015-03-14,4,0
810,2014-11-10,2014-11-13,3,0
813,2015-07-11,2015-07-17,6,0
814,2015-06-02,2015-06-07,5,0
815,2015-05-12,2015-05-18,6,0
816,2015-08-20,2015-08-27,7,1
817,2014-12-09,2014-12-09,0,0
819,2015-03-04,2015-03-04,0,0
820,2014-12-06,2014-12-09,3,0
821,2014-11-10,2014-11-16,6,0
826,2015-06-05,2015-06-09,4,0
827,2015-07-08,2015-07-12,4,0
830,2015-04-03,2015-04-06,3,0
837,2014-11-10,2014-11-11,1,0
838,2014-11-10,2014-11-11,1,0
840,2015-08-21,2015-08-27,6,1
841,2014-11-12,2014-11-12,0,0
842,2015-01-07,2015-01-09,2,0
845,2014-11-16,2014-11-23,7,0
847,2015-01-12,2015-01-19,7,0
849,2015-07-17,2015-07-19,2,0
850,2015-07-18,2015-07-22,4,0
851,2015-08-22,2015-08-27,5,1
854,2015-08-23,2015-08-27,4,1
860,2015-03-07,2015-03-11,4,0
861,2014-11-16,2014-11-19,3,0
862,2015-01-12,2015-01-18,6,0
863,2015-04-10,2015-04-12,2,0
865,2014-12-07,2014-12-13,6,0
869,2014-11-14,2014-11-21,7,0
870,2015-05-12,2015-05-12,0,0
871,2014-11-13,2014-11-13,0,0
874,2015-08-22,2015-08-27,5,1
875,2014-11-17,2014-11-17,0,0
876,2015-01-08,2015-01-11,3,0
878,2014-11-10,2014-11-10,0,0
879,2015-07-18,2015-07-24,6,0
880,2015-08-23,2015-08-27,4,1
881,2015-05-11,2015-05-14,3,0
884,2015-01-08,2015-01-08,0,0
