account_key,account_days_active
0,226.0
1,109.0
2,76.0
3,286.0
4,103.0
5,99.0
6,79.0
7,103.0
8,109.0
9,227.0
10,286.0
11,121.0
12,286.0
13,144.0
14,81.0
15,165.0
16,102.0
17,104.0
18,99.0
19,98.0
20,104.0
21,37.0
22,142.0
23,286.0
24,189.0
25,202.0
26,193.0
27,104.0
28,223.0
29,38.0
30,194.0
31,286.0
32,227.0
33,223.0
34,280.0
35,196.0
36,102.0
37,282.0
38,282.0
39,37.0
40,39.0
41,102.0
42,153.0
43,112.0
44,286.0
45,286.0
46,258.0
47,38.0
48,38.0
49,121.0
50,172.0
51,219.0
52,97.0
53,141.0
54,263.0
55,86.0
56,228.0
57,208.0
58,106.0
59,225.0
60,286.0
61,103.0
62,219.0
63,87.0
64,128.0
65,99.0
66,228.0
67,66.0
68,102.0
69,188.0
70,195.0
71,151.0
72,188.0
73,87.0
74,159.0
75,144.0
76,282.0
77,228.0
78,258.0
79,219.0
80,77.0
81,286.0
82,171.0
83,78.0
84,109.0
85,136.0
86,143.0
87,223.0
88,281.0
89,108.0
90,286.0
91,286.0
92,249.0
93,97.0
94,121.0
96,279.0
97,199.0
98,98.0
99,219.0
100,199.0
101,159.0
102,286.0
103,228.0
104,135.0
105,37.0
106,285.0
107,121.0
108,127.0
109,109.0
110,158.0
111,84.0
112,107.0
113,129.0
114,108.0
115,224.0
116,109.0
117,137.0
118,139.0
119,263.0
120,104.0
121,77.0
122,37.0
123,158.0
124,84.0
125,222.0
126,282.0
127,121.0
128,76.0
129,104.0
130,219.0
131,282.0
132,99.0
133,76.0
134,127.0
135,282.0
136,199.0
137,260.0
138,194.0
139,170.0
140,286.0
141,68.0
142,207.0
143,127.0
144,171.0
145,286.0
146,121.0
147,263.0
148,158.0
149,165.0
150,188.0
151,81.0
152,279.0
153,219.0
154,106.0
155,282.0
156,286.0
157,249.0
158,141.0
159,255.0
160,99.0
161,188.0
162,104.0
163,45.0
164,38.0
165,127.0
166,258.0
167,121.0
168,206.0
169,193.0
170,219.0
171,99.0
172,166.0
173,108.0
174,97.0
175,106.0
176,46.0
177,135.0
178,173.0
179,127.0
180,223.0
181,283.0
182,107.0
183,144.0
184,103.0
185,284.0
186,282.0
187,158.0
188,280.0
189,103.0
190,193.0
191,280.0
192,106.0
193,258.0
194,286.0
195,286.0
196,81.0
197,158.0
198,286.0
199,85.0
200,103.0
201,121.0
202,263.0
203,74.0
204,286.0
205,144.0
206,286.0
207,228.0
208,99.0
209,261.0
210,165.0
211,109.0
212,121.0
213,40.0
214,223.0
215,282.0
216,82.0
217,282.0
218,46.0
219,78.0
220,138.0
221,69.0
222,279.0
223,286.0
224,286.0
225,286.0
226,76.0
227,174.0
228,108.0
229,158.0
230,286.0
231,282.0
232,227.0
233,170.0
234,285.0
235,104.0
236,105.0
237,105.0
238,41.0
239,172.0
240,121.0
241,258.0
242,104.0
243,74.0
244,262.0
245,282.0
246,144.0
248,75.0
249,103.0
250,223.0
251,198.0
252,103.0
253,280.0
254,282.0
255,109.0
256,189.0
257,281.0
258,249.0
259,105.0
260,104.0
261,99.0
262,121.0
263,145.0
264,84.0
265,38.0
266,78.0
267,121.0
268,166.0
269,143.0
270,142.0
271,46.0
272,127.0
273,282.0
274,109.0
275,284.0
276,105.0
277,281.0
278,262.0
279,199.0
280,281.0
281,282.0
282,282.0
283,283.0
284,195.0
285,228.0
286,46.0
287,104.0
288,263.0
289,98.0
290,85.0
291,143.0
292,261.0
293,99.0
294,80.0
295,142.0
296,76.0
297,223.0
298,107.0
299,121.0
300,263.0
301,286.0
302,121.0
303,104.0
304,105.0
305,166.0
306,196.0
307,194.0
308,280.0
309,286.0
310,139.0
311,280.0
313,199.0
314,104.0
315,188.0
316,189.0
317,45.0
318,79.0
319,236.0
320,108.0
321,279.0
322,276.0
323,158.0
324,45.0
325,35.0
326,45.0
327,282.0
328,286.0
329,286.0
330,105.0
331,104.0
332,12.0
333,144.0
334,280.0
335,188.0
336,286.0
337,194.0
338,203.0
339,219.0
340,144.0
341,105.0
342,261.0
343,97.0
344,224.0
345,228.0
346,258.0
347,237.0
348,193.0
349,142.0
350,228.0
351,168.0
352,199.0
353,121.0
354,286.0
355,37.0
356,226.0
357,224.0
358,261.0
359,39.0
360,109.0
361,38.0
362,97.0
363,143.0
364,261.0
365,102.0
366,158.0
367,142.0
368,286.0
369,286.0
370,121.0
371,222.0
372,170.0
373,223.0
374,198.0
375,167.0
376,110.0
377,261.0
378,158.0
379,138.0
380,258.0
381,195.0
382,109.0
383,228.0
384,76.0
385,107.0
386,131.0
387,121.0
388,258.0
389,282.0
390,286.0
391,194.0
392,143.0
393,36.0
394,158.0
395,137.0
396,121.0
397,262.0
398,104.0
399,103.0
400,144.0
401,121.0
402,223.0
403,38.0
404,132.0
405,81.0
406,105.0
407,99.0
408,158.0
409,170.0
410,99.0
411,189.0
412,286.0
413,96.0
414,77.0
415,280.0
416,103.0
417,11.0
418,188.0
419,264.0
420,286.0
421,227.0
422,107.0
423,195.0
424,139.0
425,140.0
426,100.0
427,158.0
428,286.0
429,219.0
430,44.0
431,127.0
432,167.0
433,137.0
434,142.0
435,198.0
436,196.0
437,143.0
438,37.0
439,286.0
440,99.0
441,219.0
442,372.0
443,286.0
444,201.0
445,102.0
446,228.0
447,41.0
449,142.0
450,259.0
451,144.0
452,80.0
453,258.0
454,103.0
455,144.0
456,77.0
457,166.0
458,283.0
459,76.0
460,226.0
461,258.0
462,45.0
463,195.0
464,144.0
465,188.0
466,109.0
467,173.0
468,143.0
469,280.0
471,108.0
472,228.0
473,128.0
474,97.0
475,106.0
476,107.0
477,129.0
478,75.0
479,106.0
480,286.0
481,87.0
482,142.0
483,161.0
484,108.0
485,166.0
486,223.0
487,105.0
488,231.0
489,83.0
490,102.0
491,103.0
492,166.0
493,199.0
494,202.0
495,267.0
496,81.0
497,103.0
498,45.0
499,96.0
500,266.0
501,104.0
502,264.0
503,81.0
504,219.0
505,68.0
506,286.0
507,226.0
508,172.0
509,171.0
510,199.0
511,104.0
512,127.0
513,87.0
514,189.0
515,227.0
516,106.0
517,170.0
518,76.0
519,104.0
520,127.0
521,157.0
522,286.0
523,263.0
524,231.0
525,249.0
526,38.0
527,226.0
528,129.0
529,258.0
530,228.0
531,46.0
532,158.0
533,104.0
534,97.0
535,196.0
536,121.0
537,286.0
538,82.0
539,263.0
540,107.0
541,219.0
542,44.0
543,144.0
544,188.0
545,87.0
546,261.0
547,250.0
548,34.0
549,189.0
550,210.0
551,121.0
552,9.0
553,286.0
554,77.0
555,136.0
556,103.0
557,258.0
558,263.0
559,108.0
560,260.0
561,199.0
562,286.0
563,219.0
564,196.0
565,76.0
566,103.0
567,223.0
568,286.0
569,68.0
570,259.0
571,258.0
572,87.0
573,77.0
574,121.0
575,37.0
576,99.0
577,225.0
578,143.0
579,281.0
580,249.0
581,259.0
582,286.0
583,158.0
584,286.0
585,144.0
586,166.0
587,245.0
588,143.0
589,199.0
590,201.0
591,284.0
592,228.0
593,143.0
594,261.0
595,286.0
596,103.0
597,188.0
598,223.0
599,214.0
600,138.0
601,286.0
602,188.0
603,195.0
604,286.0
605,198.0
606,68.0
607,171.0
608,105.0
609,121.0
610,66.0
611,38.0
612,127.0
613,261.0
614,170.0
615,171.0
616,87.0
617,284.0
618,128.0
619,78.0
620,286.0
621,103.0
622,158.0
623,104.0
624,114.0
625,143.0
626,77.0
627,280.0
628,75.0
629,75.0
630,127.0
631,73.0
632,138.0
633,37.0
634,189.0
635,108.0
636,161.0
637,200.0
639,127.0
640,284.0
641,74.0
642,224.0
643,263.0
644,102.0
645,96.0
646,80.0
647,109.0
648,104.0
649,127.0
650,166.0
651,68.0
652,166.0
653,46.0
654,0.0
655,71.0
656,103.0
657,66.0
658,2.0
659,5.0
660,38.0
661,38.0
662,4.0
663,13.0
664,0.0
665,103.0
666,66.0
667,38.0
668,13.0
669,68.0
670,97.0
671,56.0
672,282.0
673,83.0
674,103.0
675,5.0
676,132.0
677,6.0
678,38.0
679,5.0
680,3.0
681,12.0
682,44.0
683,1.0
684,5.0
685,7.0
686,0.0
687,34.0
688,2.0
689,37.0
690,199.0
691,3.0
692,13.0
693,69.0
694,44.0
695,6.0
696,71.0
697,38.0
698,38.0
699,7.0
700,6.0
701,4.0
702,283.0
703,3.0
704,68.0
705,26.0
706,98.0
707,0.0
708,5.0
709,35.0
710,69.0
711,0.0
712,127.0
713,53.0
714,6.0
715,103.0
716,4.0
717,0.0
718,42.0
719,8.0
720,38.0
721,13.0
722,127.0
723,3.0
724,6.0
725,0.0
726,37.0
727,0.0
728,0.0
729,22.0
730,22.0
731,4.0
732,127.0
733,0.0
734,4.0
735,38.0
736,97.0
737,0.0
738,6.0
739,0.0
740,3.0
741,6.0
742,9.0
743,38.0
744,37.0
745,2.0
746,35.0
747,149.0
748,76.0
749,0.0
750,0.0
751,12.0
752,9.0
753,38.0
754,2.0
755,286.0
756,64.0
757,38.0
758,5.0
759,128.0
760,3.0
761,38.0
