account_key,cancel_date,days_to_cancel,is_canceled,join_date,status,cancel_year,cancel_month,cancel_day,join_year,join_month,join_day
700,2014-11-16,6.0,True,2014-11-10,canceled,2014.0,11.0,16.0,2014,11,10
429,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
429,2015-06-17,99.0,True,2015-03-10,canceled,2015.0,6.0,17.0,2015,3,10
60,2015-01-14,65.0,True,2014-11-10,canceled,2015.0,1.0,14.0,2014,11,10
60,2015-04-01,77.0,True,2015-01-14,canceled,2015.0,4.0,1.0,2015,1,14
60,,,False,2015-04-01,current,,,,2015,4,1
1300,2014-11-16,6.0,True,2014-11-10,canceled,2014.0,11.0,16.0,2014,11,10
369,,,False,2014-11-10,current,,,,2014,11,10
322,2015-02-02,84.0,True,2014-11-10,canceled,2015.0,2.0,2.0,2014,11,10
322,2015-02-12,0.0,True,2015-02-12,canceled,2015.0,2.0,12.0,2015,2,12
322,2015-03-10,26.0,True,2015-02-12,canceled,2015.0,3.0,10.0,2015,2,12
322,,,False,2015-03-10,current,,,,2015,3,10
336,,,False,2014-11-10,current,,,,2014,11,10
553,,,False,2014-11-10,current,,,,2014,11,10
584,2015-01-14,65.0,True,2014-11-10,canceled,2015.0,1.0,14.0,2014,11,10
584,2015-03-10,55.0,True,2015-01-14,canceled,2015.0,3.0,10.0,2015,1,14
584,,,False,2015-03-10,current,,,,2015,3,10
1006,2014-11-17,7.0,True,2014-11-10,canceled,2014.0,11.0,17.0,2014,11,10
458,2015-04-01,142.0,True,2014-11-10,canceled,2015.0,4.0,1.0,2014,11,10
458,2015-04-06,2.0,True,2015-04-04,canceled,2015.0,4.0,6.0,2015,4,4
458,,,False,2015-04-06,current,,,,2015,4,6
1058,2015-01-14,65.0,True,2014-11-10,canceled,2015.0,1.0,14.0,2014,11,10
1058,2015-03-10,55.0,True,2015-01-14,canceled,2015.0,3.0,10.0,2015,1,14
1058,,,False,2015-03-10,current,,,,2015,3,10
206,,,False,2014-11-10,current,,,,2014,11,10
45,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
45,,,False,2015-03-10,current,,,,2015,3,10
315,2015-05-17,188.0,True,2014-11-10,canceled,2015.0,5.0,17.0,2014,11,10
604,,,False,2014-11-10,current,,,,2014,11,10
204,,,False,2014-11-10,current,,,,2014,11,10
408,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
408,2015-04-01,22.0,True,2015-03-10,canceled,2015.0,4.0,1.0,2015,3,10
408,2015-04-17,16.0,True,2015-04-01,canceled,2015.0,4.0,17.0,2015,4,1
51,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
51,2015-06-17,99.0,True,2015-03-10,canceled,2015.0,6.0,17.0,2015,3,10
323,2015-04-17,158.0,True,2014-11-10,canceled,2015.0,4.0,17.0,2014,11,10
568,,,False,2014-11-10,current,,,,2014,11,10
130,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
130,2015-04-01,22.0,True,2015-03-10,canceled,2015.0,4.0,1.0,2015,3,10
130,2015-06-17,77.0,True,2015-04-01,canceled,2015.0,6.0,17.0,2015,4,1
550,2015-05-02,173.0,True,2014-11-10,canceled,2015.0,5.0,2.0,2014,11,10
550,2015-07-04,37.0,True,2015-05-28,canceled,2015.0,7.0,4.0,2015,5,28
44,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
44,,,False,2015-03-10,current,,,,2015,3,10
1020,2014-11-15,5.0,True,2014-11-10,canceled,2014.0,11.0,15.0,2014,11,10
838,2014-11-11,1.0,True,2014-11-10,canceled,2014.0,11.0,11.0,2014,11,10
198,,,False,2014-11-10,current,,,,2014,11,10
368,,,False,2014-11-10,current,,,,2014,11,10
440,2015-02-18,99.0,True,2014-11-11,canceled,2015.0,2.0,18.0,2014,11,11
675,2014-11-16,5.0,True,2014-11-11,canceled,2014.0,11.0,16.0,2014,11,11
57,2015-02-18,99.0,True,2014-11-11,canceled,2015.0,2.0,18.0,2014,11,11
57,,,False,2015-05-06,current,,,,2015,5,6
1090,2014-11-26,15.0,True,2014-11-11,canceled,2014.0,11.0,26.0,2014,11,11
541,2015-06-19,219.0,True,2014-11-12,canceled,2015.0,6.0,19.0,2014,11,12
756,2014-11-15,3.0,True,2014-11-12,canceled,2014.0,11.0,15.0,2014,11,12
756,2015-01-15,61.0,True,2014-11-15,canceled,2015.0,1.0,15.0,2014,11,15
1219,2014-11-12,0.0,True,2014-11-12,canceled,2014.0,11.0,12.0,2014,11,12
101,2015-04-20,159.0,True,2014-11-12,canceled,2015.0,4.0,20.0,2014,11,12
1021,2014-11-17,5.0,True,2014-11-12,canceled,2014.0,11.0,17.0,2014,11,12
1108,2014-11-16,4.0,True,2014-11-12,canceled,2014.0,11.0,16.0,2014,11,12
800,2014-11-14,2.0,True,2014-11-12,canceled,2014.0,11.0,14.0,2014,11,12
800,2015-05-11,68.0,True,2015-03-04,canceled,2015.0,5.0,11.0,2015,3,4
702,2014-11-15,2.0,True,2014-11-13,canceled,2014.0,11.0,15.0,2014,11,13
702,2015-01-14,60.0,True,2014-11-15,canceled,2015.0,1.0,14.0,2014,11,15
702,2015-03-10,55.0,True,2015-01-14,canceled,2015.0,3.0,10.0,2015,1,14
702,,,False,2015-03-10,current,,,,2015,3,10
871,2014-11-13,0.0,True,2014-11-13,canceled,2014.0,11.0,13.0,2014,11,13
38,,,False,2014-11-14,current,,,,2014,11,14
215,,,False,2014-11-14,current,,,,2014,11,14
744,2014-12-21,37.0,True,2014-11-14,canceled,2014.0,12.0,21.0,2014,11,14
217,2014-11-15,1.0,True,2014-11-14,canceled,2014.0,11.0,15.0,2014,11,14
217,2015-03-10,115.0,True,2014-11-15,canceled,2015.0,3.0,10.0,2014,11,15
217,,,False,2015-03-10,current,,,,2015,3,10
1221,2014-11-21,7.0,True,2014-11-14,canceled,2014.0,11.0,21.0,2014,11,14
1211,2014-11-15,1.0,True,2014-11-14,canceled,2014.0,11.0,15.0,2014,11,14
1211,2015-01-15,61.0,True,2014-11-15,canceled,2015.0,1.0,15.0,2014,11,15
1211,,,False,2015-03-06,current,,,,2015,3,6
1051,2014-11-16,2.0,True,2014-11-14,canceled,2014.0,11.0,16.0,2014,11,14
1286,2014-11-21,7.0,True,2014-11-14,canceled,2014.0,11.0,21.0,2014,11,14
53,2014-12-21,37.0,True,2014-11-14,canceled,2014.0,12.0,21.0,2014,11,14
53,,,False,2015-05-11,current,,,,2015,5,11
895,2014-11-19,5.0,True,2014-11-14,canceled,2014.0,11.0,19.0,2014,11,14
895,2014-11-11,0.0,True,2014-11-11,canceled,2014.0,11.0,11.0,2014,11,11
283,,,False,2014-11-15,current,,,,2014,11,15
283,2014-11-15,2.0,True,2014-11-13,canceled,2014.0,11.0,15.0,2014,11,13
338,2015-01-14,60.0,True,2014-11-15,canceled,2015.0,1.0,14.0,2014,11,15
338,2015-02-03,20.0,True,2015-01-14,canceled,2015.0,2.0,3.0,2015,1,14
338,2015-02-22,19.0,True,2015-02-03,canceled,2015.0,2.0,22.0,2015,2,3
338,,,False,2015-05-11,current,,,,2015,5,11
579,,,False,2014-11-15,current,,,,2014,11,15
903,2014-11-21,5.0,True,2014-11-16,canceled,2014.0,11.0,21.0,2014,11,16
627,,,False,2014-11-16,current,,,,2014,11,16
253,2015-01-14,59.0,True,2014-11-16,canceled,2015.0,1.0,14.0,2014,11,16
253,,,False,2015-01-14,current,,,,2015,1,14
861,2014-11-19,3.0,True,2014-11-16,canceled,2014.0,11.0,19.0,2014,11,16
178,2015-05-09,173.0,True,2014-11-17,canceled,2015.0,5.0,9.0,2014,11,17
822,2015-01-15,59.0,True,2014-11-17,canceled,2015.0,1.0,15.0,2014,11,17
822,,,False,2015-07-18,current,,,,2015,7,18
96,,,False,2014-11-17,current,,,,2014,11,17
123,2015-03-10,120.0,True,2014-11-10,canceled,2015.0,3.0,10.0,2014,11,10
123,2015-04-17,38.0,True,2015-03-10,canceled,2015.0,4.0,17.0,2015,3,10
943,2014-11-17,7.0,True,2014-11-10,canceled,2014.0,11.0,17.0,2014,11,10
620,,,False,2014-11-10,current,,,,2014,11,10
