0,1,2,3,4
8,1021,"[[38, 33], [33, 152]]",0.7421875,0.700686523789
9,997,"[[43, 30], [25, 152]]",0.78,0.725528090858
10,992,"[[38, 32], [36, 142]]",0.725806451613,0.729838709677
11,984,"[[31, 38], [31, 146]]",0.719512195122,0.741162205971
12,983,"[[41, 46], [20, 139]]",0.731707317073,0.736756816548
13,982,"[[34, 33], [29, 150]]",0.747967479675,0.721475582103
14,981,"[[46, 36], [16, 148]]",0.788617886179,0.734693877551
15,977,"[[39, 38], [29, 139]]",0.726530612245,0.754098360656
16,974,"[[38, 31], [39, 136]]",0.713114754098,0.753440599069
17,969,"[[35, 35], [33, 140]]",0.720164609053,0.746644674387
18,960,"[[31, 32], [31, 146]]",0.7375,0.731993466322
19,960,"[[28, 37], [37, 138]]",0.691666666667,0.759730999381
20,960,"[[42, 29], [32, 137]]",0.745833333333,0.754204258947
21,959,"[[49, 34], [27, 130]]",0.745833333333,0.749671579946
22,959,"[[33, 36], [25, 146]]",0.745833333333,0.759367735937
23,959,"[[33, 31], [24, 152]]",0.770833333333,0.735739191074
24,942,"[[28, 40], [28, 140]]",0.71186440678,0.764908976773
25,941,"[[32, 33], [32, 139]]",0.724576271186,0.736275624844
26,941,"[[35, 26], [22, 153]]",0.796610169492,0.7261955692
27,941,"[[24, 33], [21, 158]]",0.771186440678,0.727659574468
28,941,"[[32, 48], [21, 135]]",0.707627118644,0.77016149829
29,941,"[[39, 30], [29, 138]]",0.75,0.739007092199
30,940,"[[23, 32], [31, 149]]",0.731914893617,0.741913321683
31,940,"[[25, 30], [25, 155]]",0.765957446809,0.77870254787
32,939,"[[26, 32], [29, 148]]",0.740425531915,0.754240164878
33,939,"[[29, 26], [19, 161]]",0.808510638298,0.768412438625
34,938,"[[30, 31], [22, 152]]",0.774468085106,0.766669710529
35,938,"[[30, 28], [20, 157]]",0.795744680851,0.770949380574
36,938,"[[34, 26], [23, 152]]",0.791489361702,0.786652118567
37,931,"[[33, 25], [21, 154]]",0.802575107296,0.753548973377
38,929,"[[38, 29], [19, 147]]",0.793991416309,0.795912517424
39,908,"[[23, 32], [14, 158]]",0.797356828194,0.806167400881
40,863,"[[22, 33], [12, 149]]",0.791666666667,0.797494975596
41,856,"[[28, 29], [14, 143]]",0.799065420561,0.830208374787
42,853,"[[28, 17], [21, 148]]",0.822429906542,0.799647618267
43,834,"[[21, 24], [14, 150]]",0.818181818182,0.804778554779
44,820,"[[22, 23], [13, 147]]",0.824390243902,0.829241904355
45,817,"[[18, 27], [11, 149]]",0.814634146341,0.820274709267
