0,1,2,3,4,5,6
8,1021,0.739869281046,{'C': 0.01},"[[48, 27], [31, 150]]",0.725490196078,0.722914237465
9,997,0.74297188755,{'C': 0.001},"[[51, 27], [26, 146]]",0.739529546758,0.738988814318
10,992,0.768817204301,{'C': 0.001},"[[48, 24], [52, 124]]",0.764976958525,0.766175464055
11,984,0.753387533875,{'C': 0.001},"[[46, 18], [43, 139]]",0.750677506775,0.749310535025
12,983,0.750339213026,{'C': 0.001},"[[47, 22], [31, 146]]",0.749757704982,0.747762859309
13,982,0.760869565217,{'C': 0.01},"[[44, 17], [40, 145]]",0.756793478261,0.756821106821
14,981,0.752380952381,{'C': 0.1},"[[40, 29], [18, 159]]",0.750437317784,0.750983510768
15,977,0.774590163934,{'C': 0.01},"[[46, 26], [33, 140]]",0.768149882904,0.767719690616
16,974,0.765753424658,{'C': 0.01},"[[49, 23], [26, 146]]",0.761252446184,0.758889906459
17,969,0.774104683196,{'C': 0.001},"[[54, 19], [41, 129]]",0.771546635183,0.771255838975
18,960,0.777777777778,{'C': 0.01},"[[37, 25], [29, 149]]",0.77003968254,0.769444444444
19,960,0.779166666667,{'C': 0.1},"[[41, 21], [25, 153]]",0.770634920635,0.772222222222
20,960,0.775,{'C': 100},"[[31, 20], [25, 164]]",0.768452380952,0.773578490475
21,959,0.780250347705,{'C': 0.01},"[[41, 27], [18, 154]]",0.763163123386,0.759387174129
22,959,0.78859527121,{'C': 0.1},"[[36, 27], [29, 148]]",0.783031988873,0.784349529781
23,959,0.785813630042,{'C': 0.1},"[[37, 32], [17, 154]]",0.779058215776,0.781577043646
24,942,0.784702549575,{'C': 0.01},"[[36, 33], [18, 149]]",0.782476730069,0.783268404755
25,941,0.794326241135,{'C': 1},"[[38, 27], [28, 143]]",0.793110435664,0.794277865776
26,941,0.784397163121,{'C': 0.1},"[[37, 22], [30, 147]]",0.782978723404,0.784332948043
27,941,0.782978723404,{'C': 0.1},"[[37, 27], [23, 149]]",0.779533941236,0.781535311158
28,941,0.787234042553,{'C': 1},"[[30, 24], [27, 155]]",0.783789260385,0.787118883514
29,941,0.780141843972,{'C': 0.1},"[[42, 25], [18, 151]]",0.777102330294,0.780056081168
30,940,0.792907801418,{'C': 0.01},"[[41, 32], [26, 136]]",0.790881458967,0.791414301411
31,940,0.787234042553,{'C': 0.1},"[[40, 20], [28, 147]]",0.78358662614,0.787225623243
32,939,0.795454545455,{'C': 0.1},"[[30, 30], [26, 149]]",0.793222402597,0.79548724974
33,939,0.801136363636,{'C': 0.01},"[[46, 22], [29, 138]]",0.793425324675,0.794038557587
34,938,0.798008534851,{'C': 0.1},"[[38, 28], [20, 149]]",0.79414753099,0.796632481249
35,938,0.800853485064,{'C': 0.01},"[[47, 17], [26, 145]]",0.794757163178,0.796591178275
36,938,0.805120910384,{'C': 0.1},"[[40, 22], [26, 147]]",0.800040642146,0.805177304965
37,931,0.810888252149,{'C': 0.1},"[[39, 22], [22, 150]]",0.807408923455,0.810981974299
38,929,0.808908045977,{'C': 100},"[[36, 26], [13, 158]]",0.805008210181,0.807468162116
39,908,0.813509544787,{'C': 0.1},"[[40, 23], [19, 145]]",0.807006503042,0.809180859692
40,863,0.84544049459,{'C': 10},"[[29, 23], [20, 144]]",0.842128505189,0.843899821109
41,856,0.823987538941,{'C': 0.001},"[[27, 7], [27, 153]]",0.823987538941,0.823942307692
42,853,0.845070422535,{'C': 0.1},"[[22, 26], [17, 149]]",0.841046277666,0.841949734481
43,834,0.856,{'C': 0.01},"[[24, 27], [20, 138]]",0.849371428571,0.847996313364
44,820,0.826016260163,{'C': 0.001},"[[32, 7], [19, 147]]",0.816492450639,0.814616089048
45,817,0.83660130719,{'C': 0.001},"[[34, 13], [18, 140]]",0.830765639589,0.831667333067
46,816,0.830065359477,{'C': 0.1},"[[23, 20], [13, 148]]",0.828664799253,0.830183959474
47,814,0.854098360656,{'C': 0.001},"[[31, 12], [24, 137]]",0.842857142857,0.840899012296
48,814,0.844262295082,{'C': 0.01},"[[19, 26], [7, 152]]",0.83981264637,0.840867730043
49,812,0.845648604269,{'C': 0.01},"[[20, 21], [11, 151]]",0.84236453202,0.842365533126
50,809,0.86303630363,{'C': 0.01},"[[22, 18], [21, 142]]",0.860443187176,0.858054464165
51,798,0.844481605351,{'C': 0.001},"[[25, 9], [25, 141]]",0.842570473005,0.841134453782
52,791,0.85328836425,{'C': 10},"[[22, 15], [17, 144]]",0.850638400385,0.851725062907
53,791,0.858347386172,{'C': 10},"[[20, 22], [15, 141]]",0.856901951337,0.856682571334
54,789,0.842639593909,{'C': 0.001},"[[28, 11], [17, 142]]",0.842397872855,0.842753302973
55,784,0.843537414966,{'C': 0.1},"[[23, 12], [15, 146]]",0.842565597668,0.843397524155
56,783,0.843270868825,{'C': 0.001},"[[30, 9], [13, 144]]",0.84108055488,0.840149393091
57,783,0.875638841567,{'C': 100},"[[26, 16], [20, 134]]",0.872475054758,0.873935869962
58,781,0.851282051282,{'C': 0.1},"[[22, 15], [10, 149]]",0.848351648352,0.848034337894
59,779,0.866438356164,{'C': 0.01},"[[15, 11], [22, 147]]",0.865215264188,0.866401414677
60,779,0.859589041096,{'C': 0.01},"[[29, 16], [10, 140]]",0.856898238748,0.859545325121
61,778,0.862778730703,{'C': 0.1},"[[16, 24], [6, 149]]",0.859348198971,0.859328028294
62,777,0.867697594502,{'C': 0.01},"[[21, 14], [14, 146]]",0.863279332351,0.860708363767
63,776,0.852233676976,{'C': 0.001},"[[32, 8], [15, 139]]",0.845606283751,0.843643819116
64,774,0.865517241379,{'C': 0.1},"[[19, 16], [13, 146]]",0.864285714286,0.863744025423
65,772,0.860103626943,{'C': 0.001},"[[24, 10], [15, 144]]",0.856155933876,0.855007496252
66,770,0.86308492201,{'C': 0.001},"[[20, 14], [14, 145]]",0.859371131468,0.857866856046
67,769,0.859375,{'C': 0.001},"[[19, 8], [17, 149]]",0.855654761905,0.85416370762
68,759,0.8769771529,{'C': 0.001},"[[29, 13], [17, 131]]",0.873713281446,0.871781454406
69,759,0.86467486819,{'C': 0.001},"[[25, 8], [16, 141]]",0.859653527492,0.859350627434
70,735,0.882032667877,{'C': 0.001},"[[20, 15], [14, 135]]",0.880477054706,0.882031122031
71,730,0.879341864717,{'C': 0.001},"[[19, 14], [7, 143]]",0.874902063202,0.875642665184
72,730,0.870201096892,{'C': 0.1},"[[16, 9], [6, 152]]",0.868111778532,0.868490408674
73,727,0.897247706422,{'C': 0.1},"[[13, 16], [6, 147]]",0.888597640891,0.893577981651
74,726,0.887867647059,{'C': 0.01},"[[14, 15], [8, 145]]",0.881039915966,0.882381923208
75,726,0.886029411765,{'C': 10},"[[13, 13], [6, 150]]",0.883928571429,0.884107744108
76,726,0.889705882353,{'C': 10},"[[18, 12], [9, 143]]",0.886292016807,0.887797856238
77,724,0.891344383057,{'C': 0.01},"[[9, 17], [3, 152]]",0.884767166535,0.885728848114
78,723,0.889298892989,{'C': 0.1},"[[13, 15], [5, 148]]",0.883763837638,0.8874617737
79,723,0.892988929889,{'C': 0.001},"[[16, 10], [12, 143]]",0.886399578281,0.889361418351
80,723,0.885608856089,{'C': 1},"[[18, 11], [6, 146]]",0.879283078545,0.885555555556
81,714,0.88785046729,{'C': 0.001},"[[11, 12], [8, 148]]",0.881174899866,0.885885629943
82,701,0.897142857143,{'C': 1},"[[10, 16], [7, 143]]",0.891156462585,0.897047480821
83,694,0.894230769231,{'C': 0.1},"[[11, 12], [10, 141]]",0.892307692308,0.894207831004
84,689,0.897286821705,{'C': 1},"[[13, 11], [14, 135]]",0.894241417497,0.897171945701
