account_key,assigned_rating,completion_date,creation_date,lesson_key,processing_state,days_to_completion
256,UNGRADED,2015-01-16,2015-01-14,3176718735,EVALUATED,172800000000000
256,INCOMPLETE,2015-01-13,2015-01-10,3176718735,EVALUATED,259200000000000
256,PASSED,2015-01-20,2015-01-20,3176718735,EVALUATED,0
434,PASSED,2015-03-13,2015-03-10,3176718735,EVALUATED,259200000000000
434,INCOMPLETE,2015-03-03,2015-02-17,3176718735,EVALUATED,1209600000000000
381,INCOMPLETE,2015-04-06,2015-04-06,3176718735,EVALUATED,0
381,INCOMPLETE,2015-07-28,2015-07-26,3165188753,EVALUATED,172800000000000
381,PASSED,2015-06-02,2015-05-31,3168208620,EVALUATED,172800000000000
381,PASSED,2015-07-29,2015-07-29,3165188753,EVALUATED,0
381,INCOMPLETE,2015-07-29,2015-07-29,3165188753,EVALUATED,0
381,PASSED,2015-04-13,2015-04-07,3176718735,EVALUATED,518400000000000
381,INCOMPLETE,2015-04-06,2015-04-06,3176718735,EVALUATED,0
381,INCOMPLETE,2015-04-05,2015-04-05,3176718735,EVALUATED,0
378,PASSED,2015-01-23,2015-01-13,3176718735,EVALUATED,864000000000000
23,PASSED,2015-04-02,2015-03-19,3174288624,EVALUATED,1209600000000000
23,PASSED,2015-02-11,2015-01-29,3176718735,EVALUATED,1123200000000000
23,INCOMPLETE,2015-02-03,2015-01-29,3165188753,EVALUATED,432000000000000
23,INCOMPLETE,2015-01-21,2015-01-08,3176718735,EVALUATED,1123200000000000
23,INCOMPLETE,2015-01-07,2014-12-24,3176718735,EVALUATED,1209600000000000
23,INCOMPLETE,2015-02-25,2015-02-11,3168208620,EVALUATED,1209600000000000
23,PASSED,2015-03-11,2015-02-26,3168208620,EVALUATED,1123200000000000
23,PASSED,2015-02-19,2015-02-06,3165188753,EVALUATED,1123200000000000
616,INCOMPLETE,2015-07-31,2015-07-23,4110338963,EVALUATED,691200000000000
616,PASSED,2015-07-21,2015-07-21,3184238632,EVALUATED,0
616,INCOMPLETE,2015-07-11,2015-07-10,3174288624,EVALUATED,86400000000000
616,INCOMPLETE,2015-07-18,2015-07-18,3184238632,EVALUATED,0
616,INCOMPLETE,2015-06-11,2015-06-11,3176718735,EVALUATED,0
616,INCOMPLETE,2015-06-10,2015-06-10,3168208620,EVALUATED,0
616,INCOMPLETE,2015-07-21,2015-07-20,3184238632,EVALUATED,86400000000000
616,PASSED,2015-07-15,2015-07-14,3174288624,EVALUATED,86400000000000
616,PASSED,2015-06-12,2015-06-12,3168208620,EVALUATED,0
616,PASSED,2015-08-04,2015-07-31,4110338963,EVALUATED,345600000000000
616,INCOMPLETE,2015-06-23,2015-06-22,3165188753,EVALUATED,86400000000000
616,PASSED,2015-06-12,2015-06-11,3176718735,EVALUATED,86400000000000
616,PASSED,2015-06-29,2015-06-29,3165188753,EVALUATED,0
616,INCOMPLETE,2015-06-26,2015-06-26,3165188753,EVALUATED,0
