account_key,projects_completed,completed_one_or_more
0,2,1
1,2,1
2,1,1
3,2,1
4,2,1
5,1,1
6,4,1
7,1,1
8,2,1
9,5,1
10,3,1
11,1,1
12,5,1
13,4,1
14,3,1
15,5,1
16,1,1
17,2,1
18,1,1
19,2,1
20,1,1
21,3,1
22,2,1
23,4,1
24,5,1
25,2,1
26,1,1
27,1,1
28,2,1
29,3,1
30,3,1
31,2,1
32,2,1
33,2,1
34,1,1
35,4,1
36,1,1
37,6,1
38,4,1
39,3,1
40,3,1
41,1,1
42,3,1
43,1,1
44,3,1
45,3,1
46,2,1
47,3,1
48,3,1
49,1,1
50,2,1
51,1,1
52,1,1
53,2,1
54,2,1
55,1,1
56,2,1
57,4,1
58,2,1
59,1,1
60,1,1
61,3,1
62,2,1
63,3,1
64,1,1
65,1,1
66,2,1
67,1,1
68,4,1
69,1,1
70,2,1
71,2,1
72,3,1
73,3,1
74,1,1
75,1,1
76,2,1
77,3,1
78,2,1
79,3,1
80,3,1
81,4,1
82,1,1
83,4,1
84,1,1
85,8,1
86,2,1
87,2,1
88,1,1
89,1,1
90,2,1
91,2,1
92,5,1
93,2,1
94,1,1
95,1,1
96,2,1
97,2,1
98,1,1
99,5,1
100,3,1
101,2,1
102,3,1
103,4,1
104,2,1
105,1,1
106,3,1
107,1,1
108,5,1
109,1,1
110,5,1
111,1,1
112,2,1
113,1,1
114,1,1
115,3,1
116,2,1
117,3,1
118,2,1
119,1,1
120,1,1
121,1,1
122,3,1
123,1,1
124,3,1
125,7,1
126,2,1
127,1,1
128,3,1
129,1,1
130,1,1
131,2,1
132,6,1
133,1,1
134,1,1
135,3,1
136,2,1
137,4,1
138,1,1
139,5,1
140,3,1
141,1,1
142,3,1
143,1,1
144,3,1
145,5,1
146,3,1
147,2,1
148,1,1
149,2,1
150,5,1
151,1,1
152,2,1
153,2,1
154,2,1
155,3,1
156,2,1
157,1,1
158,1,1
159,3,1
160,1,1
161,5,1
162,2,1
163,5,1
164,4,1
165,1,1
166,4,1
167,1,1
168,2,1
169,5,1
170,5,1
171,5,1
172,3,1
173,1,1
174,1,1
175,5,1
176,3,1
177,1,1
178,3,1
179,3,1
180,1,1
181,1,1
182,2,1
183,2,1
184,2,1
185,4,1
186,4,1
187,2,1
188,3,1
189,2,1
190,1,1
191,3,1
192,2,1
193,5,1
194,4,1
195,4,1
196,2,1
197,2,1
198,4,1
199,4,1
200,1,1
201,1,1
202,3,1
203,1,1
204,4,1
205,2,1
206,3,1
207,4,1
208,2,1
209,3,1
210,2,1
211,3,1
212,1,1
213,3,1
214,3,1
215,1,1
216,3,1
217,3,1
218,6,1
219,1,1
220,2,1
221,1,1
222,5,1
223,2,1
224,4,1
225,3,1
226,1,1
227,2,1
228,2,1
229,5,1
230,3,1
231,2,1
232,3,1
233,1,1
234,3,1
235,2,1
236,1,1
237,1,1
238,3,1
239,4,1
240,4,1
241,2,1
242,3,1
243,1,1
244,4,1
245,4,1
246,1,1
247,1,1
248,1,1
249,1,1
250,3,1
251,1,1
252,3,1
253,3,1
254,3,1
255,2,1
256,1,1
257,5,1
258,5,1
259,1,1
260,1,1
261,1,1
262,1,1
263,4,1
264,1,1
265,1,1
266,4,1
267,1,1
268,1,1
269,2,1
270,4,1
271,3,1
272,5,1
273,2,1
274,2,1
275,4,1
276,2,1
277,4,1
278,3,1
279,1,1
280,3,1
281,4,1
282,4,1
283,4,1
284,2,1
285,1,1
286,3,1
287,3,1
288,4,1
289,1,1
290,1,1
291,2,1
292,4,1
293,1,1
294,1,1
295,1,1
296,1,1
297,3,1
298,1,1
299,1,1
300,2,1
301,4,1
302,2,1
303,2,1
304,2,1
305,2,1
306,2,1
307,2,1
