0,1,2,3,4
8,1021,"[[46, 47], [41, 122]]",0.65625,0.666666666667
9,997,"[[37, 39], [40, 134]]",0.684,0.696087662478
10,992,"[[41, 29], [49, 129]]",0.685483870968,0.686827956989
11,984,"[[37, 31], [34, 144]]",0.735772357724,0.659891598916
12,983,"[[41, 41], [33, 131]]",0.69918699187,0.698675259578
13,982,"[[39, 38], [36, 133]]",0.69918699187,0.698385045075
14,981,"[[38, 37], [37, 134]]",0.69918699187,0.67748102573
15,977,"[[39, 33], [41, 132]]",0.697959183673,0.715821340342
16,974,"[[34, 31], [37, 142]]",0.72131147541,0.698584202683
17,969,"[[47, 25], [28, 143]]",0.781893004115,0.695592286501
18,960,"[[42, 30], [42, 126]]",0.7,0.704134379262
19,960,"[[40, 23], [34, 143]]",0.7625,0.697230275989
20,960,"[[30, 41], [40, 129]]",0.6625,0.737450809331
21,959,"[[31, 33], [28, 148]]",0.745833333333,0.713546025105
22,959,"[[36, 35], [40, 129]]",0.6875,0.735724578552
23,959,"[[37, 26], [25, 152]]",0.7875,0.710710134821
24,942,"[[36, 32], [31, 137]]",0.733050847458,0.726604374909
25,941,"[[36, 35], [29, 136]]",0.728813559322,0.723503605689
26,941,"[[36, 33], [44, 123]]",0.673728813559,0.704964539007
27,941,"[[35, 32], [34, 135]]",0.720338983051,0.706439743025
28,941,"[[32, 27], [34, 143]]",0.741525423729,0.751788049805
29,941,"[[36, 30], [28, 142]]",0.754237288136,0.714893617021
30,940,"[[32, 29], [40, 134]]",0.706382978723,0.737537179333
31,940,"[[44, 30], [36, 125]]",0.71914893617,0.747517730496
32,939,"[[42, 21], [38, 134]]",0.748936170213,0.73439084456
33,939,"[[33, 28], [38, 136]]",0.71914893617,0.784057707462
34,938,"[[39, 25], [25, 146]]",0.787234042553,0.731111314035
35,938,"[[39, 32], [29, 135]]",0.740425531915,0.753894647512
36,938,"[[29, 37], [35, 134]]",0.693617021277,0.768103291508
37,931,"[[42, 31], [24, 136]]",0.763948497854,0.755059436094
38,929,"[[34, 26], [29, 144]]",0.763948497854,0.764367816092
39,908,"[[30, 33], [28, 136]]",0.73127753304,0.801811358539
40,863,"[[26, 17], [24, 149]]",0.810185185185,0.814534883721
41,856,"[[21, 18], [25, 150]]",0.799065420561,0.800634753485
42,853,"[[30, 24], [25, 135]]",0.771028037383,0.813702805008
43,834,"[[31, 12], [20, 146]]",0.846889952153,0.777631386327
44,820,"[[24, 19], [15, 147]]",0.834146341463,0.796712989403
45,817,"[[22, 22], [18, 143]]",0.80487804878,0.794114505909
46,816,"[[23, 17], [20, 144]]",0.81862745098,0.821895424837
47,814,"[[28, 22], [17, 137]]",0.808823529412,0.806655665567
48,814,"[[24, 19], [23, 138]]",0.794117647059,0.798375672108
49,812,"[[29, 15], [25, 134]]",0.802955665025,0.796335878155
50,809,"[[20, 21], [18, 144]]",0.807881773399,0.821819991719
51,798,"[[22, 17], [17, 144]]",0.83,0.807663316583
52,791,"[[20, 13], [19, 146]]",0.838383838384,0.817848536123
53,791,"[[20, 17], [21, 140]]",0.808080808081,0.811165803552
54,789,"[[24, 17], [21, 136]]",0.808080808081,0.812170794586
55,784,"[[26, 21], [17, 132]]",0.80612244898,0.826530612245
56,783,"[[21, 20], [15, 140]]",0.821428571429,0.827934763649
57,783,"[[19, 21], [12, 144]]",0.831632653061,0.831423338566
58,781,"[[27, 19], [16, 134]]",0.821428571429,0.832423067033
59,779,"[[25, 19], [21, 130]]",0.794871794872,0.861210463567
60,779,"[[22, 9], [20, 144]]",0.851282051282,0.821913825007
61,778,"[[20, 17], [20, 138]]",0.810256410256,0.842135871002
62,777,"[[24, 15], [19, 137]]",0.825641025641,0.833277178104
63,776,"[[28, 16], [10, 140]]",0.865979381443,0.841974801368
64,774,"[[34, 12], [17, 131]]",0.850515463918,0.848307604651
65,772,"[[22, 16], [19, 136]]",0.818652849741,0.856649395509
66,770,"[[23, 13], [15, 142]]",0.854922279793,0.847483088659
67,769,"[[25, 17], [20, 131]]",0.80829015544,0.854200481814
68,759,"[[14, 12], [14, 150]]",0.863157894737,0.864633806739
69,759,"[[16, 9], [19, 146]]",0.852631578947,0.833082706767
70,735,"[[15, 11], [15, 143]]",0.858695652174,0.860269660252
71,730,"[[12, 12], [12, 147]]",0.868852459016,0.83912808503
72,730,"[[13, 14], [17, 139]]",0.830601092896,0.861126123421
73,727,"[[13, 19], [10, 140]]",0.840659340659,0.849510410691
74,726,"[[15, 9], [9, 149]]",0.901098901099,0.838196988197
75,726,"[[15, 14], [19, 134]]",0.818681318681,0.871288932062
76,726,"[[15, 10], [13, 144]]",0.873626373626,0.854835771963
77,724,"[[19, 13], [16, 133]]",0.839779005525,0.885776235224
78,723,"[[16, 14], [4, 147]]",0.900552486188,0.861673828525
79,723,"[[16, 19], [9, 137]]",0.845303867403,0.859750358093
80,723,"[[15, 14], [12, 140]]",0.85635359116,0.874483323102
81,714,"[[15, 15], [9, 140]]",0.865921787709,0.85790806185
82,701,"[[17, 13], [10, 136]]",0.869318181818,0.860952380952
83,694,"[[9, 15], [4, 146]]",0.890804597701,0.855790312936
84,689,"[[13, 15], [12, 133]]",0.843930635838,0.852777247146
85,687,"[[15, 13], [11, 133]]",0.860465116279,0.85443583118
86,682,"[[12, 18], [5, 136]]",0.865497076023,0.847414287352
87,676,"[[11, 13], [20, 125]]",0.804733727811,0.873694467925
88,672,"[[12, 11], [11, 134]]",0.869047619048,0.865052791009
89,670,"[[5, 12], [8, 143]]",0.880952380952,0.850620188195
90,668,"[[10, 14], [6, 137]]",0.880239520958,0.856415682691
91,665,"[[10, 14], [11, 132]]",0.850299401198,0.863523190931
92,664,"[[11, 14], [9, 132]]",0.861445783133,0.871554882203
93,657,"[[10, 19], [5, 131]]",0.854545454545,0.880081300813
94,657,"[[9, 11], [10, 135]]",0.872727272727,0.878048780488
95,657,"[[13, 10], [17, 125]]",0.836363636364,0.863821138211
96,657,"[[6, 13], [11, 135]]",0.854545454545,0.845586721623
97,655,"[[11, 10], [11, 132]]",0.871951219512,0.86965684074
98,651,"[[9, 8], [15, 131]]",0.858895705521,0.85043803176
99,640,"[[11, 12], [17, 120]]",0.81875,0.900023763949
100,635,"[[9, 8], [11, 131]]",0.880503144654,0.884496988032
101,616,"[[14, 10], [13, 117]]",0.850649350649,0.883169638008
102,616,"[[9, 11], [11, 123]]",0.857142857143,0.88961038961
103,616,"[[12, 17], [4, 121]]",0.863636363636,0.88961038961
104,616,"[[6, 10], [11, 127]]",0.863636363636,0.880906836505
105,616,"[[12, 6], [13, 123]]",0.876623376623,0.885334870344
106,616,"[[9, 4], [8, 133]]",0.922077922078,0.870126036729
107,616,"[[14, 7], [10, 123]]",0.88961038961,0.876676314058
108,607,"[[9, 13], [11, 119]]",0.842105263158,0.887911002672
109,585,"[[11, 6], [12, 118]]",0.877551020408,0.874409622139
110,562,"[[6, 15], [2, 118]]",0.879432624113,0.91222559946
111,552,"[[10, 13], [5, 110]]",0.869565217391,0.903381642512
112,546,"[[11, 7], [4, 115]]",0.919708029197,0.882743083716
113,538,"[[13, 6], [12, 104]]",0.866666666667,0.890786806707
114,527,"[[12, 8], [8, 104]]",0.878787878788,0.883510679312
115,514,"[[12, 2], [9, 106]]",0.914728682171,0.875277218255
116,512,"[[11, 9], [9, 99]]",0.859375,0.890681747085
117,512,"[[6, 6], [13, 103]]",0.8515625,0.888056757259
118,512,"[[8, 9], [4, 107]]",0.8984375,0.864537236261
119,512,"[[14, 5], [4, 105]]",0.9296875,0.872395833333
120,512,"[[8, 10], [7, 103]]",0.8671875,0.885432085343
121,511,"[[8, 6], [8, 106]]",0.890625,0.859081568292
122,511,"[[13, 5], [8, 102]]",0.8984375,0.872006233596
123,511,"[[11, 5], [10, 102]]",0.8828125,0.887754265092
124,511,"[[14, 7], [10, 97]]",0.8671875,0.892942093176
125,511,"[[10, 7], [4, 107]]",0.9140625,0.900913548597
126,511,"[[5, 10], [9, 104]]",0.8515625,0.918963254593
127,486,"[[17, 7], [4, 94]]",0.909836065574,0.881836246218
128,486,"[[9, 3], [9, 101]]",0.901639344262,0.887368468591
129,463,"[[12, 5], [4, 95]]",0.922413793103,0.904947526237
130,458,"[[12, 6], [2, 95]]",0.930434782609,0.915582916506
131,453,"[[8, 7], [1, 98]]",0.929824561404,0.893694413024
132,453,"[[8, 6], [5, 95]]",0.90350877193,0.896722817368
133,452,"[[9, 6], [7, 91]]",0.884955752212,0.926092425015
134,451,"[[11, 5], [5, 92]]",0.911504424779,0.917009060261
135,450,"[[12, 6], [5, 90]]",0.902654867257,0.934708175306
136,450,"[[12, 3], [7, 91]]",0.911504424779,0.922803413401
137,449,"[[11, 3], [4, 95]]",0.938053097345,0.925618254158
138,447,"[[10, 4], [5, 93]]",0.919642857143,0.925487987988
139,446,"[[8, 5], [5, 94]]",0.910714285714,0.925166237666
140,446,"[[4, 5], [2, 101]]",0.9375,0.919294294294
141,444,"[[10, 4], [6, 91]]",0.90990990991,0.933876896377
142,443,"[[5, 6], [6, 94]]",0.891891891892,0.927654927655
143,438,"[[10, 4], [10, 86]]",0.872727272727,0.923769808173
144,432,"[[6, 7], [4, 91]]",0.898148148148,0.913460632601
145,427,"[[10, 4], [2, 91]]",0.943925233645,0.906126252038
146,425,"[[8, 5], [5, 89]]",0.906542056075,0.902540074397
147,424,"[[7, 2], [7, 90]]",0.915094339623,0.924583721692
148,420,"[[6, 4], [6, 89]]",0.904761904762,0.888669454235
149,406,"[[6, 8], [1, 87]]",0.911764705882,0.898078043098
150,392,"[[6, 5], [3, 84]]",0.918367346939,0.911488827542
151,392,"[[5, 4], [4, 85]]",0.918367346939,0.908018752643
152,391,"[[4, 7], [2, 85]]",0.908163265306,0.894347429694
153,390,"[[9, 7], [5, 77]]",0.877551020408,0.897222806648
154,390,"[[4, 4], [4, 86]]",0.918367346939,0.914399092971
155,390,"[[8, 4], [6, 80]]",0.897959183673,0.921207658321
156,389,"[[8, 3], [6, 81]]",0.908163265306,0.893356827267
157,389,"[[5, 5], [4, 84]]",0.908163265306,0.903780068729
158,389,"[[7, 5], [8, 78]]",0.867346938776,0.883259403418
159,388,"[[8, 3], [7, 79]]",0.896907216495,0.890062855039
160,368,"[[4, 4], [5, 79]]",0.902173913043,0.909420289855
161,365,"[[5, 4], [5, 78]]",0.902173913043,0.922991099078
162,365,"[[6, 5], [1, 80]]",0.934782608696,0.901373183982
163,363,"[[4, 5], [6, 76]]",0.879120879121,0.911680911681
164,363,"[[4, 3], [3, 81]]",0.934065934066,0.90814000814
165,363,"[[5, 3], [6, 77]]",0.901098901099,0.933816425121
166,363,"[[3, 7], [3, 78]]",0.89010989011,0.926210826211
167,363,"[[5, 5], [3, 78]]",0.912087912088,0.915506715507
168,363,"[[5, 2], [3, 81]]",0.945054945055,0.908017908018
169,363,"[[6, 3], [4, 78]]",0.923076923077,0.904395604396
170,363,"[[4, 2], [4, 81]]",0.934065934066,0.88954008954
171,360,"[[3, 6], [3, 78]]",0.9,0.922011405157
172,352,"[[6, 2], [6, 74]]",0.909090909091,0.927980893789
173,350,"[[2, 5], [4, 77]]",0.897727272727,0.904606408917
174,349,"[[6, 3], [2, 77]]",0.943181818182,0.896366430949
175,347,"[[7, 1], [6, 73]]",0.919540229885,0.930767174552
176,339,"[[5, 4], [4, 72]]",0.905882352941,0.925210084034
177,334,"[[5, 4], [1, 74]]",0.940476190476,0.928087495161
178,330,"[[4, 4], [3, 72]]",0.915662650602,0.906895876188
179,329,"[[5, 6], [6, 66]]",0.855421686747,0.926829268293
180,329,"[[4, 2], [3, 74]]",0.939759036145,0.902379164354
181,329,"[[5, 1], [3, 74]]",0.951807228916,0.91873969833
182,328,"[[7, 1], [3, 71]]",0.951219512195,0.946902333816
183,328,"[[6, 1], [3, 72]]",0.951219512195,0.914634146341
184,327,"[[7, 2], [6, 67]]",0.90243902439,0.934949675244
185,327,"[[7, 7], [0, 68]]",0.914634146341,0.938773461809
186,326,"[[9, 1], [2, 70]]",0.963414634146,0.917946401686
187,325,"[[5, 8], [1, 68]]",0.890243902439,0.967074425374
188,325,"[[3, 3], [0, 76]]",0.963414634146,0.938271604938
189,324,"[[3, 5], [4, 69]]",0.888888888889,0.954625865703
190,311,"[[3, 1], [2, 72]]",0.961538461538,0.939837939838
191,304,"[[4, 4], [5, 63]]",0.881578947368,0.938704336599
192,304,"[[5, 2], [1, 68]]",0.960526315789,0.90350877193
193,304,"[[1, 5], [1, 69]]",0.921052631579,0.938705855548
194,304,"[[1, 3], [3, 69]]",0.921052631579,0.934210526316
195,304,"[[4, 0], [6, 66]]",0.921052631579,0.916666666667
196,304,"[[5, 2], [5, 64]]",0.907894736842,0.951754385965
197,304,"[[2, 3], [2, 69]]",0.934210526316,0.938645857067
198,304,"[[5, 2], [1, 68]]",0.960526315789,0.951754385965
199,302,"[[4, 4], [1, 67]]",0.934210526316,0.951398767188
200,296,"[[6, 1], [2, 65]]",0.959459459459,0.923415196018
201,290,"[[5, 3], [2, 63]]",0.931506849315,0.916983764587
202,285,"[[6, 1], [2, 63]]",0.958333333333,0.943719725762
203,285,"[[4, 3], [2, 63]]",0.930555555556,0.953176466205
