account_key,projects_completed,completed_one_or_more,first_completion
0,2,1,2015-04-13
1,2,1,2015-05-30
2,1,1,2015-08-16
3,2,1,2014-11-24
4,2,1,2015-07-11
5,1,1,2015-04-14
6,4,1,2015-06-24
7,1,1,2015-07-28
8,2,1,2015-06-29
9,5,1,2015-02-16
10,3,1,2015-01-20
11,1,1,2015-04-23
12,5,1,2015-02-24
13,4,1,2015-04-13
14,3,1,2015-07-11
15,5,1,2015-03-23
16,1,1,2015-08-18
17,2,1,2015-06-27
18,1,1,2015-01-02
19,2,1,2015-05-21
20,1,1,2015-07-06
21,3,1,2015-07-18
22,2,1,2015-05-25
23,4,1,2015-02-11
24,5,1,2015-02-05
25,2,1,2015-01-31
26,1,1,2015-04-13
27,1,1,2015-06-16
28,2,1,2015-03-25
29,3,1,2015-07-16
30,3,1,2015-02-19
31,2,1,2015-04-24
32,2,1,2015-04-28
33,2,1,2015-04-13
34,1,1,2015-04-13
35,4,1,2015-03-13
36,1,1,2015-07-10
37,6,1,2015-01-26
38,4,1,2015-02-19
39,3,1,2015-07-20
40,3,1,2015-07-19
41,1,1,2015-08-17
42,3,1,2015-05-04
43,1,1,2015-02-16
44,3,1,2015-01-29
45,3,1,2015-01-22
46,2,1,2015-02-07
47,3,1,2015-07-16
48,3,1,2015-07-16
49,1,1,2015-04-23
50,2,1,2015-04-20
51,1,1,2014-12-23
52,1,1,2015-02-16
53,2,1,2015-06-11
54,2,1,2015-02-11
55,1,1,2015-07-21
56,2,1,2015-04-15
57,4,1,2015-01-16
58,2,1,2015-06-19
59,1,1,2015-03-09
60,1,1,2015-02-14
61,3,1,2015-06-28
62,2,1,2015-02-13
63,3,1,2015-06-14
64,1,1,2014-12-30
65,1,1,2015-01-20
66,2,1,2015-04-14
67,1,1,2015-02-20
68,4,1,2015-07-21
69,1,1,2015-05-06
70,2,1,2015-03-24
71,2,1,2015-07-21
72,3,1,2014-12-01
73,3,1,2015-07-11
74,1,1,2015-03-20
75,1,1,2015-06-16
76,2,1,2015-03-25
77,3,1,2015-04-13
78,2,1,2015-02-17
79,3,1,2015-03-02
80,3,1,2015-07-11
81,4,1,2014-12-18
82,1,1,2015-07-24
83,4,1,2015-07-16
84,1,1,2015-07-01
85,8,1,2014-12-12
86,2,1,2015-06-09
87,2,1,2015-03-25
88,1,1,2015-01-23
89,1,1,2015-07-07
90,2,1,2015-02-27
91,2,1,2015-01-07
92,5,1,2015-01-15
93,2,1,2015-02-24
94,1,1,2015-06-11
95,1,1,2015-08-09
96,2,1,2015-04-06
97,2,1,2015-07-03
98,1,1,2015-05-29
99,5,1,2015-04-13
100,3,1,2015-04-13
101,2,1,2015-01-15
102,3,1,2015-01-23
103,4,1,2015-02-24
104,2,1,2015-06-01
105,1,1,2015-04-18
106,3,1,2015-01-23
107,1,1,2015-04-23
108,5,1,2015-03-24
109,1,1,2015-07-23
110,5,1,2015-02-10
111,1,1,2015-02-26
112,2,1,2015-06-12
113,1,1,2015-06-07
114,1,1,2015-07-08
