Unnamed: 0,account_key,lessons_completed,num_courses_visited,projects_completed,total_minutes_visited,utc_date
0,0,0.0,1.0,0.0,11.6793745,2015-01-09
1,0,0.0,2.0,0.0,37.2848873333,2015-01-10
2,0,0.0,2.0,0.0,53.6337463333,2015-01-11
3,0,0.0,1.0,0.0,33.4892696667,2015-01-12
4,0,0.0,1.0,0.0,64.7796776667,2015-01-13
5,0,1.0,1.0,0.0,151.617576833,2015-01-14
6,0,0.0,1.0,0.0,142.395963833,2015-01-15
8,0,0.0,1.0,0.0,9.8495625,2015-01-17
9,0,0.0,1.0,0.0,38.330548,2015-01-18
10,0,1.0,1.0,0.0,98.3275675,2015-01-19
13,0,1.0,1.0,0.0,218.309690167,2015-01-22
14,0,1.0,1.0,0.0,280.773319167,2015-01-23
15,0,0.0,1.0,0.0,32.2760201667,2015-01-24
16,0,0.0,1.0,0.0,65.467882,2015-01-25
17,0,1.0,1.0,0.0,74.806089,2015-01-26
18,0,1.0,1.0,0.0,199.5010495,2015-01-27
19,0,0.0,1.0,0.0,55.2349593333,2015-01-28
20,0,1.0,1.0,0.0,212.645668667,2015-01-29
21,0,1.0,1.0,0.0,96.0037191667,2015-01-30
22,0,0.0,1.0,0.0,94.333214,2015-01-31
23,0,1.0,1.0,0.0,40.564986,2015-02-01
24,0,0.0,2.0,0.0,75.525712,2015-02-02
25,0,0.0,1.0,0.0,147.728229,2015-02-03
26,0,1.0,1.0,0.0,38.5299701667,2015-02-04
27,0,0.0,2.0,0.0,84.9565343334,2015-02-05
28,0,1.0,1.0,0.0,101.378330333,2015-02-06
29,0,1.0,1.0,0.0,104.065235,2015-02-07
31,0,0.0,1.0,0.0,102.063156833,2015-02-09
32,0,1.0,1.0,0.0,104.679762333,2015-02-10
33,0,2.0,1.0,0.0,401.115233,2015-02-11
34,0,0.0,1.0,0.0,75.988601,2015-02-12
35,0,1.0,1.0,0.0,29.5425376667,2015-02-13
36,0,0.0,1.0,0.0,111.8835475,2015-02-14
42,0,0.0,1.0,0.0,32.6505448333,2015-02-20
43,0,0.0,1.0,0.0,62.9092253333,2015-02-21
44,0,1.0,1.0,0.0,77.8910681667,2015-02-22
45,0,0.0,1.0,0.0,149.886224833,2015-02-23
47,0,1.0,1.0,0.0,148.062158833,2015-02-25
48,0,1.0,2.0,0.0,42.3405491667,2015-02-26
49,0,0.0,2.0,0.0,32.479962,2015-02-27
51,0,0.0,2.0,0.0,76.5451126667,2015-03-01
52,0,0.0,2.0,0.0,52.3286868334,2015-03-02
53,0,0.0,2.0,0.0,72.9312528334,2015-03-03
54,0,0.0,2.0,0.0,75.3168575,2015-03-04
55,0,0.0,1.0,0.0,58.7287473333,2015-03-05
56,0,0.0,2.0,0.0,61.3593731667,2015-03-06
59,0,0.0,1.0,0.0,13.0344913333,2015-03-09
60,0,1.0,2.0,0.0,238.282677666,2015-03-10
61,0,0.0,2.0,0.0,90.317473,2015-03-11
62,0,0.0,1.0,0.0,20.3650096667,2015-03-12
66,0,0.0,2.0,0.0,164.301307834,2015-03-16
67,0,0.0,2.0,0.0,13.6127401667,2015-03-17
68,0,1.0,2.0,0.0,28.9673653334,2015-03-18
73,0,0.0,1.0,0.0,35.6879838333,2015-03-23
74,0,1.0,1.0,0.0,142.7344815,2015-03-24
75,0,1.0,1.0,0.0,175.6848335,2015-03-25
76,0,1.0,1.0,0.0,50.231326,2015-03-26
81,0,1.0,1.0,0.0,173.54588,2015-03-31
82,0,3.0,1.0,0.0,214.837217833,2015-04-01
84,0,1.0,1.0,0.0,59.0732133333,2015-04-03
85,0,0.0,1.0,0.0,35.71483,2015-04-04
86,0,1.0,1.0,0.0,103.655366,2015-04-05
87,0,1.0,1.0,0.0,171.518927,2015-04-06
88,0,0.0,1.0,0.0,14.3998386667,2015-04-07
89,0,2.0,2.0,0.0,115.690604167,2015-04-08
90,0,2.0,1.0,0.0,235.687231833,2015-04-09
92,0,0.0,1.0,0.0,41.9540113333,2015-04-11
93,0,0.0,1.0,0.0,17.4156996667,2015-04-12
94,0,0.0,1.0,0.0,10.4754313333,2015-04-13
95,0,0.0,1.0,0.0,37.0426483333,2015-04-14
101,0,0.0,1.0,0.0,25.2435245,2015-04-20
102,0,0.0,1.0,0.0,7.10464066667,2015-04-21
109,0,0.0,1.0,0.0,3.13019766667,2015-04-28
119,0,1.0,3.0,0.0,121.301107833,2015-05-08
120,0,0.0,1.0,0.0,78.9664818333,2015-05-09
121,0,0.0,2.0,0.0,39.1185718333,2015-05-10
122,0,0.0,1.0,0.0,130.237900333,2015-05-11
123,0,0.0,1.0,0.0,8.6603245,2015-05-12
154,0,0.0,1.0,0.0,12.2313653333,2015-06-12
160,0,1.0,1.0,0.0,75.9321218333,2015-06-18
161,0,1.0,1.0,0.0,72.5781645,2015-06-19
166,0,0.0,1.0,0.0,94.7982856667,2015-06-24
168,0,0.0,1.0,0.0,50.7091576667,2015-06-26
170,0,0.0,1.0,0.0,104.3308655,2015-06-28
171,0,2.0,1.0,0.0,211.402388167,2015-06-29
172,0,0.0,1.0,0.0,13.5055071667,2015-06-30
216,0,0.0,1.0,0.0,4.72941616667,2015-08-14
228,0,0.0,1.0,0.0,14.9694161667,2015-08-26
230,1,0.0,1.0,0.0,9.640248,2015-05-06
236,1,0.0,1.0,0.0,8.93613666667,2015-05-12
237,1,2.0,2.0,0.0,202.4374995,2015-05-13
238,1,2.0,1.0,0.0,300.820181667,2015-05-14
239,1,0.0,1.0,0.0,144.223258333,2015-05-15
242,1,2.0,1.0,0.0,250.7725985,2015-05-18
243,1,3.0,2.0,0.0,343.247496167,2015-05-19
245,1,0.0,1.0,0.0,63.902367,2015-05-21
246,1,0.0,1.0,0.0,189.458624167,2015-05-22
250,1,0.0,3.0,0.0,151.374713167,2015-05-26
251,1,0.0,1.0,0.0,125.0190875,2015-05-27
252,1,0.0,2.0,0.0,187.35692,2015-05-28
253,1,0.0,1.0,0.0,88.849618,2015-05-29
254,1,0.0,2.0,0.0,18.118867,2015-05-30
255,1,1.0,1.0,0.0,26.535007,2015-05-31
257,1,1.0,1.0,0.0,110.091891333,2015-06-02
260,1,1.0,1.0,0.0,195.111528,2015-06-05
261,1,1.0,1.0,0.0,62.8241491667,2015-06-06
263,1,1.0,2.0,0.0,130.313695834,2015-06-08
264,1,2.0,1.0,0.0,211.139601333,2015-06-09
265,1,1.0,1.0,0.0,71.3947381667,2015-06-10
266,1,0.0,1.0,0.0,159.567278667,2015-06-11
267,1,0.0,1.0,0.0,9.3085855,2015-06-12
280,1,0.0,1.0,0.0,9.0560495,2015-06-25
294,1,0.0,2.0,0.0,20.7461346666,2015-07-09
295,1,4.0,6.0,0.0,653.528880334,2015-07-10
296,1,0.0,2.0,0.0,32.816762,2015-07-11
297,1,0.0,1.0,0.0,2.61930883333,2015-07-12
306,1,1.0,3.0,0.0,263.1108015,2015-07-21
307,1,0.0,1.0,0.0,7.6601485,2015-07-22
309,1,1.0,1.0,0.0,101.130742167,2015-07-24
335,1,0.0,1.0,0.0,18.9437748333,2015-08-20
336,1,0.0,1.0,0.0,6.74884083333,2015-08-21
339,1,0.0,1.0,0.0,5.268997,2015-08-24
340,1,0.0,1.0,0.0,30.1021908333,2015-08-25
341,1,0.0,1.0,0.0,84.0677541667,2015-08-26
370,2,0.0,2.0,0.0,52.4235215,2015-07-05
371,2,0.0,1.0,0.0,40.3296033333,2015-07-06
372,2,0.0,2.0,0.0,72.7622655,2015-07-07
375,2,2.0,4.0,0.0,529.154667667,2015-07-10
376,2,2.0,2.0,0.0,562.204165334,2015-07-11
379,2,0.0,1.0,0.0,35.363993,2015-07-14
382,2,0.0,1.0,0.0,110.518314667,2015-07-17
383,2,0.0,1.0,0.0,3.82492033333,2015-07-18
384,2,1.0,2.0,0.0,237.421044833,2015-07-19
385,2,1.0,1.0,0.0,257.467808667,2015-07-20
389,2,0.0,1.0,0.0,5.9314785,2015-07-24
390,2,0.0,1.0,0.0,48.0690098333,2015-07-25
391,2,1.0,1.0,0.0,151.711262167,2015-07-27
393,2,0.0,1.0,0.0,33.0220853333,2015-07-29
395,2,1.0,3.0,0.0,118.455222167,2015-07-31
399,2,0.0,1.0,0.0,11.1466443333,2015-08-04
402,2,0.0,1.0,0.0,3.6482675,2015-08-07
411,2,0.0,2.0,0.0,20.898717,2015-08-16
412,2,0.0,1.0,0.0,80.4755913333,2015-08-17
413,2,0.0,1.0,0.0,126.233124,2015-08-18
414,2,0.0,1.0,0.0,71.506794,2015-08-19
415,2,0.0,1.0,0.0,33.092238,2015-08-20
416,2,0.0,1.0,0.0,42.4336161667,2015-08-21
417,2,0.0,1.0,0.0,12.3360781667,2015-08-22
418,2,0.0,1.0,0.0,5.70243616667,2015-08-23
419,2,0.0,1.0,0.0,23.6492425,2015-08-24
420,2,0.0,1.0,0.0,70.677827,2015-08-25
421,2,0.0,1.0,0.0,161.6815685,2015-08-26
422,2,1.0,1.0,0.0,55.2885371667,2015-08-27
423,3,0.0,2.0,0.0,136.1835995,2014-11-10
424,3,0.0,1.0,0.0,11.0550435,2014-11-11
425,3,1.0,1.0,0.0,34.615231,2014-11-12
426,3,3.0,1.0,0.0,406.333269167,2014-11-13
427,3,0.0,2.0,0.0,91.475528,2014-11-14
428,3,2.0,1.0,0.0,148.244103333,2014-11-15
430,3,2.0,1.0,0.0,195.651200167,2014-11-17
431,3,1.0,2.0,0.0,163.3229915,2014-11-18
433,3,0.0,2.0,0.0,54.3044758333,2014-11-20
434,3,0.0,2.0,0.0,64.1561893334,2014-11-21
435,3,0.0,1.0,0.0,35.8265726667,2014-11-22
438,3,3.0,1.0,0.0,109.8568135,2014-11-25
439,3,1.0,1.0,0.0,86.5877778333,2014-11-26
445,3,1.0,1.0,0.0,136.182332,2014-12-02
448,3,0.0,1.0,0.0,44.7390748333,2014-12-05
452,3,1.0,1.0,0.0,46.8183876667,2014-12-09
454,3,0.0,1.0,0.0,128.982119167,2014-12-11
457,3,2.0,1.0,0.0,101.5958455,2014-12-14
460,3,0.0,1.0,0.0,71.521254,2014-12-17
464,3,3.0,1.0,0.0,174.8517835,2014-12-21
470,3,0.0,1.0,0.0,5.7076545,2014-12-27
471,3,0.0,1.0,0.0,62.287003,2014-12-28
484,3,0.0,1.0,0.0,26.8374761667,2015-01-10
493,3,1.0,1.0,0.0,58.3618121667,2015-01-19
500,3,0.0,2.0,0.0,113.884084167,2015-01-26
537,3,0.0,1.0,0.0,21.2653596667,2015-03-04
562,3,0.0,1.0,0.0,19.8723018333,2015-03-29
564,3,0.0,1.0,0.0,14.5745931667,2015-03-31
567,3,0.0,1.0,0.0,12.497801,2015-04-03
568,3,0.0,1.0,0.0,61.6380656667,2015-04-04
571,3,2.0,1.0,0.0,107.8494705,2015-04-07
576,3,0.0,1.0,0.0,3.46887566667,2015-04-12
577,3,0.0,2.0,0.0,12.9981783333,2015-04-13
579,3,0.0,1.0,0.0,20.6778245,2015-04-15
580,3,0.0,2.0,0.0,20.0577061667,2015-04-16
582,3,2.0,1.0,0.0,213.309590833,2015-04-18
590,3,1.0,1.0,0.0,165.405060333,2015-04-26
597,3,2.0,2.0,0.0,108.5555075,2015-05-03
606,3,1.0,1.0,0.0,117.263857167,2015-05-12
620,3,0.0,1.0,0.0,22.1031268333,2015-05-26
624,3,3.0,1.0,0.0,139.669832333,2015-05-30
625,3,3.0,1.0,0.0,264.7127685,2015-05-31
629,3,2.0,1.0,0.0,128.480817,2015-06-04
646,3,0.0,1.0,0.0,54.9492991667,2015-06-21
647,3,1.0,1.0,0.0,132.950478667,2015-06-22
648,3,0.0,1.0,0.0,29.1729216667,2015-06-23
650,3,1.0,1.0,0.0,80.134017,2015-06-25
653,3,3.0,1.0,0.0,133.260718167,2015-06-28
655,3,0.0,1.0,0.0,18.4277468333,2015-06-30
694,3,0.0,1.0,0.0,9.34137833333,2015-08-09
716,4,0.0,1.0,0.0,33.3214046667,2015-05-15
740,4,0.0,1.0,0.0,13.1344566667,2015-06-08
741,4,1.0,2.0,0.0,92.5635481667,2015-06-09
742,4,2.0,1.0,0.0,179.3150025,2015-06-10
743,4,1.0,1.0,0.0,134.7605515,2015-06-11
744,4,0.0,1.0,0.0,71.1795751667,2015-06-12
