,store_number,zipcode,County,2015_margin_avg_$,2015_price_avg_$pL,2015_volume_total_L,2015_volume_avg_L,2015_sales_total_$,2015_sales_avg_$,city,County number,2015Q1_sales_total_$,2015Q1_volume_total_L,2016Q1_sales_total_$,2016Q1_volume_total_L,First Date,Last Date
0,2106,50613,Black Hawk,92.66577946768068,17.844997284084727,9719.849999999999,18.478802281368818,146038.69999999987,277.6401140684408,CEDAR FALLS,7,39287.29000000001,2526.1,30478.75000000001,2116.25,2015-01-08,2016-03-31
1,2113,50543,Webster,21.149931972789126,18.50770003239392,659.85,4.488775510204082,9310.220000000003,63.33482993197281,GOWRIE,94,2833.25,177.11,2065.9,177.0,2015-01-07,2016-03-23
2,2130,50703,Black Hawk,95.21565217391311,16.817588905127288,6879.37,17.594296675191817,111583.90999999999,285.3808439897698,WATERLOO,7,24272.570000000003,1447.25,27856.109999999997,1556.9,2015-01-08,2016-03-31
3,2152,50469,Cerro Gordo,18.351276595744682,13.020765122024919,633.37,4.4919858156028365,7721.080000000002,54.75943262411349,ROCKWELL,17,2003.46,151.74,904.66,87.5,2015-01-08,2016-02-25
4,2178,52172,Allamakee,34.454430379746846,16.05384411855566,1917.1200000000001,8.089113924050633,24324.18000000002,102.63367088607603,WAUKON,3,5856.410000000002,409.81,5588.500000000003,520.8,2015-01-07,2016-03-30
5,2190,50314,Polk,30.88800760456273,23.306227482521333,6322.170000000003,4.807733840304184,121689.05999999974,92.53920912547508,DES MOINES,77,29452.919999999976,1666.579999999999,31803.059999999994,1447.11,2015-01-05,2016-03-31
6,2191,52632,Lee,70.04092281879198,19.064053149180012,8053.3200000000015,13.512281879194633,125093.48999999987,209.88840604026825,KEOKUK,56,29085.57,1957.2800000000002,47338.20000000002,2928.1200000000003,2015-01-05,2016-03-28
7,2200,50583,Sac,18.991240694789088,16.706968926659105,1817.2399999999996,4.509280397022331,22811.54999999999,56.60434243176176,SAC CITY,81,4900.43,367.72,4174.870000000001,318.78,2015-01-07,2016-03-30
8,2205,51632,Page,28.6573867595819,19.093712591583497,1555.4099999999999,5.419547038327526,24623.010000000002,85.7944599303136,CLARINDA,73,6407.740000000001,375.38000000000005,3086.38,208.85,2015-01-06,2015-12-28
9,2228,50273,Madison,24.351416666666683,17.89010103383458,1367.65,5.698541666666667,17462.069999999996,72.75862499999998,WINTERSET,61,5193.97,405.61999999999995,6522.6500000000015,477.62,2015-01-06,2016-03-29
10,2233,51360,Dickinson,40.94049792531123,19.945082493578344,2480.6899999999996,10.293319502074688,29553.339999999986,122.6279668049792,SPIRIT LAKE,30,5374.549999999998,419.85,409.32,12.0,2015-01-06,2016-03-29
