,id,job title,job link,PhD OR ph.d,Bachelors OR BS OR BA,Python,Startup OR start-up,Scientist,Machine learning,Lab OR laboratory,Software engineer,Manager OR director,years experience,salary over 90000
0,jl_7896e61d3e45dfb4,"Scientist, research and modeling - cyber risk",https://www.indeed.com/rc/clk?jk=7896e61d3e45dfb4&fccid=cb758fc1b7df4c46,1,0,0,0,0,0,0,0,0,0,0
1,jl_a116f7a8d8db626e,"Research scientist, muscle",https://www.indeed.com/rc/clk?jk=a116f7a8d8db626e&fccid=f73ceb7ab936a1df,1,0,0,0,1,0,0,0,0,3,0
2,jl_89b3b83a5b0fd82c,Cellular analytics scientist,https://www.indeed.com/rc/clk?jk=89b3b83a5b0fd82c&fccid=22a86b559b3e662b,1,1,0,0,1,0,1,0,0,6,1
3,jl_e50079f12b84b9b6,"Scientist, cancer cell dependencies, oncology research thera...",https://www.indeed.com/rc/clk?jk=e50079f12b84b9b6&fccid=5d3ed74ca4598964,1,0,0,0,1,0,1,0,0,7,0
4,jl_16adc2284667102e,Product research scientist,https://www.indeed.com/company/Cogito-Corporation/jobs/Product-Research-Scientist-16adc2284667102e?r=1&fccid=8bedea403b0da446,1,0,1,1,1,0,1,0,0,0,1
5,jl_d5e17d142783f070,Research scientist,https://www.indeed.com/rc/clk?jk=d5e17d142783f070&fccid=b8295c348463e6f3,1,0,0,0,1,0,0,0,1,0,0
6,jl_115b40def725eb2c,Biomedical data scientist,https://www.indeed.com/rc/clk?jk=115b40def725eb2c&fccid=4e041af1d0af1bc8,1,0,1,0,1,1,1,0,0,2,1
7,jl_62948e9c407ca034,Research scientist-economic modeling,https://www.indeed.com/rc/clk?jk=62948e9c407ca034&fccid=71cf745ec1b3aae4,1,0,0,0,1,0,0,0,0,0,1
8,jl_216284a90c10e500,Research scientist / 40 / day / bwh - neurology,https://www.indeed.com/rc/clk?jk=216284a90c10e500&fccid=0143220f50b55d4c,1,0,0,0,1,0,1,0,0,5,0
9,jl_5f30454eae8a42bd,Phd research scientist- machine learning,https://www.indeed.com/rc/clk?jk=5f30454eae8a42bd&fccid=5e50810dc475b1eb,1,0,1,0,1,1,0,0,0,3,1
10,jl_765d5d6d1e3c30af,"Associate scientist, process modeling and statistics",https://www.indeed.com/rc/clk?jk=765d5d6d1e3c30af&fccid=979670c65d290df0,1,0,0,0,1,0,0,0,0,5,1
11,jl_021a7edb5cf4793f,Machine learning research scientist,https://www.indeed.com/rc/clk?jk=021a7edb5cf4793f&fccid=cd22d01053af7669,1,1,1,0,1,1,0,0,0,7,1
12,jl_10a1355277be089a,Research scientist i - diabetes research group,https://www.indeed.com/rc/clk?jk=10a1355277be089a&fccid=b8295c348463e6f3,1,0,0,0,1,0,1,0,0,2,0
13,jl_5b3e59d29118a745,"Phd level scientist, oncology translational research",https://www.indeed.com/rc/clk?jk=5b3e59d29118a745&fccid=e3d02f970def32f7,1,0,0,0,1,0,1,0,0,0,0
14,jl_117c5543fad4be7e,Research & evaluation scientist -,https://www.indeed.com/rc/clk?jk=117c5543fad4be7e&fccid=3c20b3c0e8a1f8fb,1,0,0,0,1,0,0,0,0,0,0
15,jl_65d62034685dd0ed,Data scientist,https://www.indeed.com/rc/clk?jk=65d62034685dd0ed&fccid=fe2d21eef233e94a,1,0,0,0,0,0,0,0,0,0,0
16,jl_32062be6a68c7531,Clinical data scientist (8570),https://www.indeed.com/rc/clk?jk=32062be6a68c7531&fccid=3b085c9880c48e7c,1,1,1,0,1,0,0,0,0,5,1
17,jl_df3319bfb55ad3cf,Principal data scientist (boston),https://www.indeed.com/rc/clk?jk=df3319bfb55ad3cf&fccid=0ca81e4238390a2d,1,0,1,0,1,1,0,0,0,0,1
