_id,PK,CCR,GENDER,RACE,AGE,CITEDTIME,INCIDENTLOCATION,OFFENSES,NEIGHBORHOOD,ZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
301,1078348,16176412,M,W,20,2016-09-17T23:20:00,"300 Block ATWOOD ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Central Oakland,4,405,3,3,-79.9559451409605,40.4395175941235
702,1078995,16152700,F,W,37,2016-08-15T18:30:00,"20 Block MINOOKA ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Carrick,3,2901,4,4,-79.9914639000953,40.4044097006222
405,1078427,16179800,F,W,40,2016-09-22T23:26:00,"600 Block LIBERTY AV PITTSBURGH, PA ",2709(a)(2) Harassment by Following Person in Public Place(s),Golden Triangle/Civic Arena,2,201,6,6,-80.0016204506435,40.4417729848127
704,1079002,16203770,F,O,0,2016-10-29T02:15:00,"20 Block UNGER LANE PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Squirrel Hill North,4,1401,8,3,-79.936532464562,40.4455278634613
707,1079005,16203796,F,W,19,2016-10-29T03:05:00,"FORBES AV & BEELER ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",Squirrel Hill North,4,1401,8,3,-79.938795783477,40.4438817263723
708,1079006,16203804,M,W,23,2016-10-29T03:18:00,"BEELER ST & UNGER LANE PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Squirrel Hill North,4,1401,8,3,-79.9366390215927,40.4448678086528
406,1078428,16179800,F,W,40,2016-09-22T23:26:00,"600 Block LIBERTY AV PITTSBURGH, PA ",5505 Public Drunkenness,Golden Triangle/Civic Arena,2,201,6,6,-80.0016204506435,40.4417729848127
611,1078862,16205137,M,W,34,2016-10-31T00:47:00,"300 Block N CRAIG ST PITTSBURGH, PA ",5505 Public Drunkenness,North Oakland,4,507,8,3,-79.9493872433643,40.4455906511163
709,1079007,16203804,M,W,23,2016-10-29T03:18:00,"BEELER ST & UNGER LANE PITTSBURGH, PA ",5505 Public Drunkenness,Squirrel Hill North,4,1401,8,3,-79.9366390215927,40.4448678086528
672,1078950,16200427,M,W,26,2016-10-23T22:45:00,"200 Block NORTH SHORE DR PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,North Shore,1,2205,1,6,-80.0095547689009,40.4462842950179
710,1079008,16204391,M,W,22,2016-10-29T23:15:00,"300 Block SEMPLE ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,South Oakland,4,409,3,3,-79.9570936272574,40.438737565192
408,1078430,16179911,F,B,26,2016-09-23T03:03:00,"6300 Block STATION ST PITTSBURGH, PA ",607.03 Discharging Firearm or Airgun,East Liberty,5,1115,7,2,-79.9169499058359,40.4685233687984
410,1078432,16180548,M,B,27,2016-09-24T00:18:00,"1500 Block E CARSON ST PITTSBURGH, PA ","601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",South Side Flats,3,1702,3,4,-79.9833067062384,40.4286848326994
411,1078433,16180548,M,B,27,2016-09-24T00:18:00,"1500 Block E CARSON ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,4,-79.9833067062384,40.4286848326994
412,1078434,16180559,M,B,23,2016-09-24T00:50:00,"1700 Block E CARSON ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,4,-79.9818690076802,40.4285852039836
413,1078435,16180559,M,W,22,2016-09-24T00:50:00,"1700 Block E CARSON ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,4,-79.9818690076802,40.4285852039836
418,1078444,16180587,M,W,22,2016-09-24T01:37:00,"S 16TH ST & E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,4,-79.9827122247394,40.4288316953151
