 = 42
whiffling = 1
outgrabe.+ = 2
mome = 2
Callooh! = 1
thought.+ = 1
stood,+ = 1
Beware = 1
mimsy = 2
bite, = 1
Bandersnatch!”+ = 1
manxome = 1
with = 2
foe = 1
burbled = 1
awhile = 1
arms, = 1
joy.+ = 1
raths = 2
wabe;+ = 2
day! = 1
uffish = 1
+ = 6
its = 1
slain = 1
claws = 1
brillig, = 2
shun+ = 1
eyes = 1
One, = 2
stood = 1
catch!+ = 1
O = 1
boy!+ = 1
in = 6
frabjous = 1
Did = 2
back.+ = 1
my = 3
sought—+ = 1
frumious = 1
beamish = 1
dead, = 1
Callay!”+ = 1
his = 2
as = 2
toves+ = 2
that = 2
time = 1
chortled = 1
He = 4
Come = 1
snicker-snack!+ = 1
it = 2
son+ = 1
through+ = 1
and = 7
galumphing = 1
took = 1
bird, = 1
gyre = 2
All = 2
The = 4
Tumtum = 1
vorpal = 2
And, = 1
went = 2
of = 1
rested = 1
the = 15
tulgey = 1
Jabberwock?+ = 1
Long = 1
sword = 1
“Beware = 1
thought = 1
flame,+ = 1
two! = 2
blade = 1
left = 1
‘Twas = 2
gimble = 2
Came = 1
“And = 1
wood,+ = 1
jaws = 1
hand;+ = 1
thou = 1
Jubjub = 1
hast = 1
were = 2
borogoves,+ = 2
So = 1
Jabberwock, = 2
head+ = 1
through = 2
slithy = 2
to = 1
And = 5
came!+ = 1
tree,+ = 1
by = 1
he = 3
