"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)"


        "1","nm0000197","Wed Nov 14 16:01:41 2012","Fri Jul 15 21:01:52 2016","Acting Abilities:     

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 3
Oscar Nominations: 12
BAFTA Awards: 4
BAFTA Nominations: 8
Golden Globes: 6
Golden Globe Nominations: 17

Greatest Performances:

""The Shining"" - Level of Difficulty - 5 Stars
""As Good as It Gets"" - Level of Difficulty - 4.8 Stars
""One Flew…….Cuckoo's Nest"" - Level of Difficulty - 5 Stars","Jack Nicholson","Actor, <a href=""http://www.imdb.com/title/tt0081505"">The Shining</a>","1937-04-22"


        "2","nm0000008","Wed Nov 14 16:01:55 2012","Sat Jan 31 07:49:19 2015","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 8
BAFTA Awards: 3
BAFTA Nominations: 8
Golden Globes: 2
Golden Globe Nominations: 6

Greatest Performances: 

""The Godfather"" - Level of Difficulty - 5 Stars 
""On the Waterfront"" - Level of Difficulty - 4.8 Stars
""Last Tango in Paris"" - Level of Difficulty - 4.9 Stars","Marlon Brando","Actor, <a href=""http://www.imdb.com/title/tt0068646"">The Godfather</a>","1924-04-03"


        "3","nm0000134","Wed Nov 14 16:02:06 2012","Fri Oct 11 12:32:51 2013","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 7
BAFTA Awards: 0
BAFTA Nominations: 6
Golden Globes: 1
Golden Globe Nominations: 8

Greatest Performances: 

""Raging Bull"" - Level of Difficulty - 5 Stars 
""The Deer Hunter"" - Level of Difficulty - 4.7 Stars
""The Godfather: Part II"" - Level of Difficulty - 4.8 Stars","Robert De Niro","Actor, <a href=""http://www.imdb.com/title/tt0099685"">Goodfellas</a>","1943-08-17"


        "4","nm0000199","Wed Nov 14 16:02:15 2012","Fri May 23 21:16:32 2014","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 8
BAFTA Awards: 2
BAFTA Nominations: 5
Golden Globes: 4
Golden Globe Nominations: 15

Greatest Performances:

""Scent of a Woman"" - Level of Difficulty - 5 Stars
""Dog Day Afternoon"" - Level of Difficulty - 4.8 Stars
""The Godfather: Part II"" - Level of Difficulty - 4.6 Stars","Al Pacino","Actor, <a href=""http://www.imdb.com/title/tt0068646"">The Godfather</a>","1940-04-25"


