,id,over_90k
0,jl_85c4e91c561780aa,0
1,jl_e632343c455d80f9,0
2,jl_1b5a168dfc7b2712,0
3,jl_05654b2739edb3dc,0
4,jl_1a7766c45b1abbeb,0
5,jl_54c0d6b8ad9f9e3d,0
6,jl_d5e17d142783f070,0
7,jl_d8ed0aa611a75e92,0
8,jl_b3462acabd0f43c3,0
9,jl_28643ddfd474331d,0
10,jl_40aa8253449c2054,0
11,jl_9d3c55e683467e2c,0
12,jl_36dcad16400764ce,0
13,jl_d6be8939fe1561a8,0
14,jl_445f9f72145ccbcc,0
15,jl_acce68fa735f50b1,0
16,jl_c5d858029d725c01,0
17,jl_eec7bd3e96930e6c,0
18,jl_1a6aee4e9144c6e3,0
19,jl_c8dfad018e230cc0,0
21,jl_5aee8fc316498244,0
22,jl_8f9e18290694c76a,0
23,jl_b333e4ed28d84a15,0
24,jl_5d12911ea59aa52c,0
26,jl_7bf6f86c6e512271,0
27,jl_0bb820bd8ae6e87b,0
28,jl_96ee8324d1984eb3,0
29,jl_ef56b76c21a4dd91,0
31,jl_40184ce37228c0fc,0
32,jl_76fd7622338daa26,0
33,jl_216284a90c10e500,0
34,jl_c888c568c29a71b7,0
35,jl_73cb2723d093d5ec,0
36,jl_1d247feb6e5e4473,0
37,jl_1056715d6afd92ce,0
38,jl_7fb1c8dce5f6ab7c,0
39,jl_a7b9a3ae92cb2fd0,0
40,jl_a3ee1268e985e69b,0
41,jl_41ce6f16b3e8d6ae,0
42,jl_10a1355277be089a,0
43,jl_cf7e056cb3fdf0c1,0
44,jl_6f5563a8aecb7790,0
45,jl_1330682865e84f87,0
46,jl_e962863ee226ea30,0
47,jl_74a2219a6d9549ea,0
48,jl_f7324a5474456020,0
49,jl_c97944ccb4e83d78,0
50,jl_5cacf17ffc563847,0
52,jl_b663150f8f5cbf6f,0
53,jl_8d1ce1ebe045d70e,0
54,jl_51f7d5598b866cd4,0
55,jl_52803441d6ca3148,0
57,jl_aad74f951fa95e1d,0
58,jl_e004d4a636195d2a,0
60,jl_174d886f23f3d05e,0
62,jl_21765dfd30090e51,0
63,jl_98e3ed3fa737388c,0
64,jl_117c5543fad4be7e,0
65,jl_90f2aa8945deddd6,0
66,jl_0239d05ccad20209,0
67,jl_7372f3c988e4b2dd,0
68,jl_e752dc58b5b73639,0
69,jl_7d5cb2c0eb7b08b5,0
70,jl_7cbbb5f946c21409,0
71,jl_fa7ce5bb1c769944,0
72,jl_5b3e59d29118a745,0
73,jl_a41656f64a189287,0
74,jl_8e9ee63abe942d45,0
75,jl_7178e8d45b83e932,0
76,jl_f6f1ba3951ca11b8,0
77,jl_cab74793e24f6c44,0
78,jl_c49e7c5aea2f1cc1,0
79,jl_6688a86229b5c894,0
80,jl_26e9169a1d60a22d,0
81,jl_89469eecb86425a1,0
82,jl_e82006c295b44b56,0
83,jl_1fc5961841fe7e1e,0
84,jl_a2ff7ee685c881b6,0
85,jl_f439f3d81c17de7f,0
86,jl_ebe552dae42d1ce6,0
87,jl_4f849a837b39aeca,0
88,jl_eaf8c9f2ab91b0e9,0
89,jl_c8bf61e39611ec97,0
91,jl_98bed206eb115e04,0
93,jl_37d859c46ce1d31d,0
95,jl_783b21cd0b562431,0
96,jl_2d02469a99c70c4f,0
100,jl_7423411e6b8aa524,0
101,jl_5ae12f4efea272ad,0
102,jl_031a67c34387642a,0
103,jl_e74603b20ffdd818,0
104,jl_cc9965049fa248ee,0
105,jl_39b6dfd1dadfb833,0
106,jl_e2707ea0ca1ca78a,0
107,jl_3a8800e8ef8fa047,0
109,jl_8c0b545bd37b15e3,0
110,jl_ab7313ff85a0837a,0
111,jl_01f1aacde0fdc750,0
112,jl_a988b8b70a31fd60,0
113,jl_c1cf47e4029b80d8,0
114,jl_5dcae32cb98bfb9b,0
116,jl_d86bcb9f9252412b,0
117,jl_bcf70e6d5941022d,0
118,jl_3668e07841d11f27,0
119,jl_5e1006a9b5b5ba11,0
120,jl_89e155c2be3466f7,0
121,jl_a48e38e4fc09a2b9,0
123,jl_6fb22e28aa1ef231,0
125,jl_b0f565490f5bfdb8,0
126,jl_2428059b13279bec,0
127,jl_3f6261b9b9a49d31,0
128,jl_70df36f5ca083a49,0
129,jl_7536e0796c00e320,0
130,jl_3c900166c222ee9d,0
131,jl_1cdd06e2b05cd648,0
133,jl_b1bf5e018c6d02d5,0
134,jl_fa0e8bf423b57b57,0
135,jl_3348d2c9671e8766,0
136,jl_1decb14aaba4187c,0
137,jl_6be50ac08077b401,0
138,jl_7d93bd3bbf3eb891,0
139,jl_3e6ac464d7d1e61b,0
141,jl_378f0a162d14fdb4,0
142,jl_206b81e2c3c8e0a7,0
143,jl_e4c3bb89a400c5dd,0
144,jl_1e5c9a3e43640c48,0
145,jl_49cbaeb0a70b01a0,0
146,jl_ad29321195a24b7c,0
148,jl_af0b42d091a0a4b1,0
153,jl_8dfa55979c45310c,0
154,jl_d068a1ab962e6fe5,0
155,jl_5abb8bf27f10d97e,0
156,jl_9d05b84e28df9769,0
161,jl_bacb6a4b0522a8d1,0
162,jl_fb45435f476b8872,0
163,jl_499836e596261ad9,0
165,jl_9f58e96d8825bd3f,0
167,jl_4cb98bcbc991b66d,0
168,jl_b032b6fbad9eae20,0
169,jl_8f00334a7d5ae38c,0
170,jl_abe32cd7f66050b6,0
171,jl_ebebcbf8de1374ee,0
172,jl_82fd0f489c1fdce7,0
173,jl_c41c8f0feb1ea275,0
176,jl_ffdf08bfd382ea3e,0
177,jl_9d22b3897a2804e9,0
178,jl_ceddc9b51910c28c,0
179,jl_62832f65da3d94e5,0
180,jl_6a8c3a1fe942d40b,0
181,jl_75dc22d9171b4771,0
182,jl_6415bc43046064fa,0
185,jl_65ed38d200b56ac9,0
187,jl_8ddc813ab6f21aa3,0
188,jl_7e9e2d43b39f475d,0
189,jl_c793ca9a4578e709,0
192,jl_594de6f9221135af,0
193,jl_32701a6298181627,0
194,jl_649d2a93df3fefca,0
195,jl_d15eff22b8dbec67,0
196,jl_a3b107ebeefd41c5,0
197,jl_63f4fcf507f5f367,0
199,jl_143fdc9c1081012d,0
200,jl_397e757ee9496a63,0
201,jl_b62e6f9dcedefd52,0
202,jl_9aa6ad2020d28ea6,0
203,jl_1ff8e1f4f652f8ed,0
204,jl_6e59610ca5380ae4,0
205,jl_9af256cacb274da6,0
206,jl_0374ae7e88caa699,0
207,jl_ab7aa67f2f87eeab,0
208,jl_e9a5778081e30d94,0
209,jl_5cb8f9f757e9af0e,0
210,jl_b7e2fb457e8da702,0
211,jl_b4e4e60e62237fb5,0
212,jl_43a27df4c3f28ba6,0
213,jl_cf72c8823fc7ee12,0
214,jl_f8bcd79ec3bb9c48,0
215,jl_fb9dce5942262210,0
216,jl_9e33b3c759f172d3,0
217,jl_39ec6f5ff5343675,0
218,jl_3274851e2db36059,0
219,jl_70d479ba9a4bba68,0
220,jl_6be35d775daee8e3,0
221,jl_cbd87194f10be725,0
226,jl_30e4d5ae69d55215,0
227,jl_dbacfe0f9cf54962,0
229,jl_ceca6d599f2c119e,0
230,jl_57449db460ab8956,0
231,jl_a412ce2e42fac419,0
232,jl_36c933df8d810383,0
233,jl_3f1a59e36fbf6c65,0
234,jl_16f6a793da84afa0,0
235,jl_9abe9069b31343a6,0
237,jl_1288cdf1a948add9,0
238,jl_6a6fd7e509abf9c0,0
239,jl_e6015114a9d9edc1,0
240,jl_ecfc633bfef533ce,0
241,jl_6d83b9b99c77c799,0
243,jl_8ae3342a8d253818,0
244,jl_c9e1f3cee4e096a2,0
245,jl_b7aafd3ad51d9533,0
246,jl_e41b953902711230,0
247,jl_125a5b87d702c81f,0
248,jl_825cfcc79c23eaf1,0
251,jl_81117a845679ae80,0
252,jl_1f7183b1ab902bdd,0
253,jl_6d4e1b373e145561,0
256,jl_dd76a1302329f6da,0
257,jl_ad5d4131fa72ceb2,0
258,jl_0d83713f531b2f2c,0
259,jl_e7505f33cebcf76f,0
260,jl_a83ca6a05172e660,0
261,jl_5fd7d690847a947f,0
262,jl_03e0ebb3248afff0,0
263,jl_71c768b4a96b87e2,0
264,jl_5d21dcde764dfa3b,0
266,jl_acb104e5e58d3cfa,0
267,jl_e1e3c806589293d1,0
268,jl_a9bcab5cfdbb706d,0
269,jl_958a012db430a8ef,0
270,jl_8b57cb2b6a269595,0
271,jl_d628a3abc83f789c,0
273,jl_866f0611498d20e9,0
274,jl_44ed8699ea9d3c02,0
276,jl_76e55a15ce3bd2c1,0
279,jl_d3032d6d871ea037,0
280,jl_2cfb85aac6a33d4b,0
282,jl_2487a56256a5607e,0
283,jl_e63fec23065d5f44,0
284,jl_4393cacf1078408f,0
286,jl_90b9049bd790c8d6,0
287,jl_4a5633c41b326f80,0
288,jl_17f1aa06a0c4d34b,0
289,jl_06ddab1b40eb23b2,0
290,jl_b11c3ebbe249447e,0
291,jl_31a3a1323e4740c5,0
292,jl_2de1e7fa2507400e,0
293,jl_97b25fe20ce67086,0
294,jl_f1d75bcc461a2d03,0
295,jl_ee99d2f1d59e54e5,0
297,jl_8ff5d2e895e45c61,0
298,jl_82ac385f2d150612,0
299,jl_64e7c1a629c83bc5,0
301,jl_025f17046b8f0cce,0
302,jl_6437ecada5577748,0
303,jl_7c09a9cc12d2ae6b,0
304,jl_85877b09235dfab3,0
305,jl_88e4143d49558a82,0
306,jl_fca550dfda4c85a5,0
307,jl_4cf5ae4c9c4893d1,0
308,jl_651dde8bfb83dd0e,0
309,jl_6412bc32a8825a36,0
310,jl_8822f269cfc35271,0
312,jl_574b9b4afe67086d,0
313,jl_df51eeafcdf15666,0
314,jl_b0a6f1bb09d9fce1,0
315,jl_5635b8cfe137421f,0
317,jl_f4a1dfa0e579f246,0
318,jl_21da5ef47b797ba8,0
319,jl_c4257a9476edaa7e,0
322,jl_9e011332a094dd5f,0
323,jl_213867b59f3e1024,0
324,jl_ac781131720493cf,0
325,jl_7335d9c40edd1c85,0
326,jl_da9308efa5e50110,0
327,jl_58c296e760903a10,0
328,jl_90452c5d44495aa1,0
329,jl_b1358ff61a89b5ab,0
330,jl_59a620ca49b2ea24,0
331,jl_7467ce24d1eca107,0
332,jl_3dba818f040eb490,0
333,jl_8e4b02623f52b763,0
335,jl_5a15d6aa44847d20,0
336,jl_8de4fed02cdae10f,0
337,jl_23869997048c5424,0
339,jl_8b7ca6450e2a0ccf,0
340,jl_fee5aa4c2c82fd91,0
341,jl_7e86e54d9fdbf163,0
342,jl_7fa554dbadc6b190,0
343,jl_79425aad32838bd6,0
344,jl_59c488f46eee381e,0
346,jl_085a5aa99230e5c0,0
347,jl_2b777bc1677a5385,0
348,jl_cbdcb87a52d18708,0
349,jl_d197d53af713b16c,0
350,jl_e5aab763760b2d36,0
351,jl_2d4887e9086d6ad4,0
353,jl_ee699275ca6bc820,0
354,jl_15e6687f3ec87224,0
356,jl_754cac7a9d3e77e3,0
357,jl_9e68f1318c508d79,0
358,jl_beabd7bf0b5b9e77,0
359,jl_8e3f019e13a60850,0
360,jl_4542b72d737c908d,0
361,jl_980d81e309c8ed39,0
362,jl_543dd69279176122,0
364,jl_ed80820ccc6ddf21,0
366,jl_a40c538b91a4ab76,0
367,jl_11e49a84ac18592b,0
369,jl_48f5b9b2d09f9a08,0
370,jl_d15a36bad3854041,0
371,jl_f9bbaff2734d2c07,0
372,jl_2f3a763b699e3717,0
373,jl_e6e9c2f03b63230e,0
374,jl_365d1f0fd71444d8,0
376,jl_6336ca941684fcf6,0
378,jl_e472ddc967164c8b,0
379,jl_eb2b822c8e28280c,0
381,jl_0e01538c7db6a1d2,0
382,jl_88f7cf12fa0a26ea,0
384,jl_45bdf40ebd63e2c4,0
385,jl_c1f99c0b01d840d0,0
386,jl_064ece79e3df6e13,0
387,jl_9ccc89d44358ba5a,0
390,jl_fdadc9c7ff1680ff,0
391,jl_d1b95e9aa3308340,0
392,jl_0c0157eca798596c,0
393,jl_1030cf7e8211fbba,0
395,jl_6d534ea7dc0764d5,0
396,jl_2de451d98d40d08f,0
397,jl_636a21ad19c3fcbb,0
398,jl_ef2d5c1ab846258e,0
