,id,years
0,jl_61956da39b445a3c,0
1,jl_fbadb59b5f73dc18,0
2,jl_f5945f64ec7013e3,0
3,jl_50022587c7a4a8d9,0
4,jl_44da2bd2b0b7e145,0
5,jl_b0b4a4c5be84240c,0
6,jl_e632343c455d80f9,0
7,jl_90603c7f1f0af480,0
8,jl_05654b2739edb3dc,0
9,jl_54c0d6b8ad9f9e3d,0
10,jl_28643ddfd474331d,0
11,jl_45aa9a89795b5d2b,0
12,jl_b5b7c26924376b59,0
13,jl_b8658ac1d1483ab5,0
14,jl_36dcad16400764ce,0
15,jl_1401b9b87e5d55ee,0
16,jl_d6be8939fe1561a8,0
17,jl_445f9f72145ccbcc,0
18,jl_765c6fe3235a3127,0
19,jl_3fe35a3fd27ebd9e,0
20,jl_2cb218213ebed890,0
21,jl_c5d858029d725c01,0
22,jl_46dd5d3b34eb8095,0
23,jl_d1a877c30ca7a5e6,0
24,jl_d2b92fbd9fccfbff,0
25,jl_ef63d9af1db6f2a3,0
26,jl_b856f9a5bc9b6cef,0
27,jl_3d766c8404b3e286,0
28,jl_a7e71b866947d01e,0
29,jl_d433fe393f99e1f8,0
30,jl_7d23fb51a6d2b792,0
31,jl_349882fce8422849,0
32,jl_bcc9dbeff863aadc,0
33,jl_62948e9c407ca034,0
34,jl_76fd7622338daa26,0
35,jl_a93cda6fbf6c0acb,0
36,jl_7134025708fe7144,0
37,jl_a7b9a3ae92cb2fd0,0
38,jl_a4cb78b4a8c25e15,0
39,jl_104372296a1d5292,0
40,jl_41ce6f16b3e8d6ae,0
41,jl_104372296a1d5292,0
42,jl_26c552ec204ed2bb,0
43,jl_3f4451e9ba7610d4,0
44,jl_aad74f951fa95e1d,0
45,jl_e004d4a636195d2a,0
46,jl_6f5563a8aecb7790,0
47,jl_62f348807c98380f,0
48,jl_c97944ccb4e83d78,0
49,jl_21765dfd30090e51,0
50,jl_98e3ed3fa737388c,0
51,jl_117c5543fad4be7e,0
52,jl_0239d05ccad20209,0
53,jl_7d5cb2c0eb7b08b5,0
54,jl_cab74793e24f6c44,0
55,jl_89469eecb86425a1,0
56,jl_e82006c295b44b56,0
57,jl_1fc5961841fe7e1e,0
58,jl_f439f3d81c17de7f,0
59,jl_c8bf61e39611ec97,0
60,jl_f439f3d81c17de7f,0
61,jl_cab74793e24f6c44,0
62,jl_f2cb98fa06493ae2,0
63,jl_cfaf4580a4eba466,0
64,jl_796c8c5e76ef2c2d,0
65,jl_a434485a69ef9480,0
66,jl_2d02469a99c70c4f,0
67,jl_8c9a8503843eebaf,0
68,jl_7423411e6b8aa524,0
69,jl_c70a89b5b8927e98,0
70,jl_ab7313ff85a0837a,0
71,jl_69101ac67eec9ea2,0
72,jl_c1cf47e4029b80d8,0
73,jl_2d02469a99c70c4f,0
74,jl_d86bcb9f9252412b,0
75,jl_a434485a69ef9480,0
76,jl_c70a89b5b8927e98,0
77,jl_1541e1712853907a,0
78,jl_8c9a8503843eebaf,0
79,jl_626cf8610817fc9f,0
80,jl_515fe1a77620c4fb,0
81,jl_796c8c5e76ef2c2d,0
82,jl_e74603b20ffdd818,0
83,jl_3a8800e8ef8fa047,0
84,jl_ddc4022f1fb62759,0
85,jl_378f0a162d14fdb4,0
86,jl_8682aecb8b54b7be,0
87,jl_baa3869ed9b0b696,0
88,jl_206b81e2c3c8e0a7,0
89,jl_1decb14aaba4187c,0
90,jl_7d93bd3bbf3eb891,0
91,jl_3e6ac464d7d1e61b,0
92,jl_1541e1712853907a,0
93,jl_af0b42d091a0a4b1,0
94,jl_c1cf47e4029b80d8,0
95,jl_6415bc43046064fa,0
96,jl_1b0708ad7e04ea1d,0
97,jl_69101ac67eec9ea2,0
98,jl_fd9e6e3b8773f012,0
99,jl_0ddff052dd9fd5fb,0
100,jl_d86bcb9f9252412b,0
101,jl_19efac55f39f8b84,0
102,jl_7e9e2d43b39f475d,0
103,jl_61e70bda8e226387,0
104,jl_865010fecd71f432,0
105,jl_206b81e2c3c8e0a7,0
106,jl_9f58e96d8825bd3f,0
107,jl_96b85df9263736cd,0
108,jl_378f0a162d14fdb4,0
109,jl_ceddc9b51910c28c,0
110,jl_7e9e2d43b39f475d,0
111,jl_cf72c8823fc7ee12,0
112,jl_ceddc9b51910c28c,0
113,jl_88b93cf557fdfd70,0
114,jl_3274851e2db36059,0
115,jl_32701a6298181627,0
116,jl_61e70bda8e226387,0
117,jl_865010fecd71f432,0
118,jl_c3eb39943a76df84,0
119,jl_649d2a93df3fefca,0
120,jl_e14be6d3817957d1,0
121,jl_19efac55f39f8b84,0
122,jl_0775c714e6f41f6c,0
123,jl_5348f8e5059d9c0d,0
124,jl_d15eff22b8dbec67,0
125,jl_70d479ba9a4bba68,0
126,jl_e169e3e130593e06,0
127,jl_fb8286adb29faf68,0
128,jl_df6c83c586335166,0
129,jl_0374ae7e88caa699,0
130,jl_f8bcd79ec3bb9c48,0
131,jl_8b76d398a82297ea,0
132,jl_fb9dce5942262210,0
133,jl_1c1bfee3fe5e61c6,0
134,jl_3274851e2db36059,0
135,jl_296ab9058caf5e24,0
136,jl_70d479ba9a4bba68,0
137,jl_41e12aefba997056,0
138,jl_e14be6d3817957d1,0
139,jl_57449db460ab8956,0
140,jl_a412ce2e42fac419,0
141,jl_3757062df8407316,0
142,jl_16f6a793da84afa0,0
143,jl_d4092baaddbd5a96,0
144,jl_e8f8047093724ebf,0
145,jl_08ff9849dc23743c,0
146,jl_79860696d494815c,0
147,jl_025f17046b8f0cce,0
148,jl_c0f9f1449260c9f7,0
149,jl_b7aafd3ad51d9533,0
150,jl_acb104e5e58d3cfa,0
151,jl_04bb52a92d4f229d,0
152,jl_213867b59f3e1024,0
153,jl_c0f9f1449260c9f7,0
154,jl_99e0374d2cd46091,0
155,jl_3757062df8407316,0
156,jl_d3032d6d871ea037,0
157,jl_e8f8047093724ebf,0
158,jl_2de1e7fa2507400e,0
159,jl_ee99d2f1d59e54e5,0
160,jl_4d96c101d81ece9b,0
161,jl_87467ee8ddc39040,0
162,jl_025f17046b8f0cce,0
163,jl_fb61ba1d2469e928,0
