,job_id,has_phd,title
0,jl_9587aad4baab10f1,1,Data Science Engineer
1,jl_8cce239a68b06ecc,1,Bioinformatics Engineer I
2,jl_d5e17d142783f070,1,Research Scientist
3,jl_fa8592452682f9a1,1,Senior Machine Learning Engineer
4,jl_c110f141fea2888f,1,Senior Clinical Scientist
5,jl_32062be6a68c7531,1,Clinical Data Scientist (8570)
6,jl_6059a43bec56d8f4,1,"Senior Scientist, Protein Formulation"
7,jl_770ee63428ff8a22,1,"Scientist II/Sr Scientist, Computational Biology"
8,jl_16adc2284667102e,1,Product Research Scientist
9,jl_3c6fdd0bb7c3bcdd,1,"Senior Software Engineer, Analytics"
10,jl_a0a73057582ed61a,1,Research Fellow
11,jl_6cc2143244cb3dae,1,Senior Research Audiologist
12,jl_5ae12f4efea272ad,1,Scientist II
13,jl_b9f2b2216a555168,1,Principal / Senior Upstream Scientist - PNJ2015-013 - BOS
14,jl_04a882314da504d4,1,"Mass Spectrometry Data Analyst, USA-Boston"
15,jl_070fbed177deef77,1,"Sr Scientist, In Vitro Electrophysiology"
16,jl_6c9d0349b46d0aae,1,Data Insights Analyst
17,jl_a988b8b70a31fd60,1,"Senior Scientist, Separation Sciences Job"
18,jl_aeba6b7d55865be1,1,EOIR Sensor Engineer
19,jl_3668e07841d11f27,1,"Senior Scientist, Immuno-Oncology Job"
20,jl_34cd4decc3d1c299,1,"Senior Scientist, In Vivo Electrophysiology"
21,jl_3d221f094c0db8df,1,"Scientist/Sr. Scientist, Translational Sciences"
22,jl_aeba6b7d55865be1,1,EOIR Sensor Engineer
23,jl_1a7766c45b1abbeb,1,Data Scientist â€“ Scientific Data Analysis
24,jl_65d62034685dd0ed,1,Data Scientist
25,jl_0ea00cbc973dc761,1,Cognitive / AI Data Scientist
26,jl_97b25fe20ce67086,1,"Bioverativ - Scientist I, Protein Therapeutics"
27,jl_5dcae32cb98bfb9b,1,"Senior Scientist II / I, Immunology Research"
28,jl_e629e3c18cbeda18,1,Senior Research Associate - Modeling and Simulation (HEOR)
29,jl_033222419605ed3f,1,"Scientist/Sr. Scientist, Advanced Microbiomic Analytics"
30,jl_033222419605ed3f,1,"Scientist/Sr. Scientist, Advanced Microbiomic Analytics"
31,jl_e629e3c18cbeda18,1,Senior Research Associate - Modeling and Simulation (HEOR)
32,jl_eec7bd3e96930e6c,1,Staff Scientist â€“ Tissue and Organ Regeneration
33,jl_8d188c08bf77e2fc,1,Senior Data Scientist â€“ Computational Biologist
34,jl_c28f0284f9a5d601,1,Principal Data Scientist - 37854BR
35,jl_ee39ae71ab74406d,1,Drug Safety/ PV Senior Scientist
36,jl_5cac04503de377a6,1,"Sr Engineer I, Cell Culture Development, Gene Therapy"
37,jl_81c5ad491188bbcb,1,"Senior Scientist, Translational Biomarker Discovery"
38,jl_c888c568c29a71b7,1,DMPK Scientist
39,jl_62948e9c407ca034,1,Research Scientist-Economic Modeling
40,jl_92afc9aec22a2098,1,Systems Engineer I
41,jl_d433fe393f99e1f8,1,Applied Scientist II -
42,jl_bb63e00c38480b02,1,Data Engineer
43,jl_75dc22d9171b4771,1,"Principal Scientist, Drug Product Development & Manufacturin..."
44,jl_44da2bd2b0b7e145,1,Machine Learning Scientist
45,jl_e00098676f51f1dc,1,Optical Sensor Design Engineer
46,jl_45aa9a89795b5d2b,1,Senior Data Scientist
47,jl_c3eb39943a76df84,1,Electro-Optical Sensor Scientist/Engineer
48,jl_9d22b3897a2804e9,1,Senior Research Scientist
49,jl_ad07c0f93d0bc43b,1,Senior Computational Biologist/Bioinformatics Scientist
50,jl_e7565f7e6153540d,1,"Senior Scientist / Principal Scientist, DMPK"
51,jl_a7f3995532167e78,1,"Senior Research Scientist, Bioinformatics"
52,jl_dfef34cc5989dfbe,1,Senior Data Scientist
53,jl_fd766cb0b544acf9,1,Computational Scientist I
54,jl_ffb7f83fa7858f6a,1,"Data Scientist, Algorithms"
55,jl_d82d9b3732788c99,1,Sr. Clinical Scientist
56,jl_3e2ddf43a2b11919,1,"Sr. Scientist, Translantional Sciences"
57,jl_a638c3a55a1cfe96,1,Staff Data Scientist
58,jl_2d63f589c7b4584b,1,Data Scientist
59,jl_7896e61d3e45dfb4,1,"Scientist, Research and Modeling - Cyber Risk"
60,jl_9d22b3897a2804e9,1,Senior Research Scientist
61,jl_126d1588a0123d28,1,"Manager, Data Science"
62,jl_aa1721403e344083,1,Computational Biology Scientist - Knowledge Systems Group
63,jl_b9534037fb378bb2,1,Machine Learning Data Scientist
64,jl_7a492d50ee9478d6,1,Insight Studio Senior Data Scientist
65,jl_40fb12be97ac5ab3,1,Sr. Director Predictive Modeling
66,jl_445f9f72145ccbcc,1,"Innovation Fellow, Clinical Data Science Center"
67,jl_869d945afefabefb,1,2017 Healthcare (RWD) Data Science Intern Job
68,jl_26a3c3779ba2a516,1,Postdoctoral Research Associate
69,jl_117c5543fad4be7e,1,Research & Evaluation Scientist -
70,jl_ae5b9956e76c1984,1,Senior Computational Scientist (Deep/Machine Learning)
71,jl_ae091c39afbf037d,1,Software Engineer
72,jl_c48921aca733afe9,1,LCMS Applications Scientist
73,jl_48bd0995d3e1c56b,1,Data Scientist 4
74,jl_7c09a9cc12d2ae6b,1,Summer Computational Scientist/Engineer Intern
75,jl_de820b80af3fe210,1,"Research Associate II - Modeling and Simulation â€“ Waltham, M..."
76,jl_1a043154658e5166,1,"Sr. Scientist, Computational Sciences"
77,jl_a7e5ad1ea907233c,1,"Research Program Leader, Molecular Biology/Gene Editing"
78,jl_76fd7622338daa26,1,Research Analyst
79,jl_021a7edb5cf4793f,1,Machine Learning Research Scientist
80,jl_76fd7622338daa26,1,Research Analyst
81,jl_a7e5ad1ea907233c,1,"Research Program Leader, Molecular Biology/Gene Editing"
82,jl_39ec6f5ff5343675,1,"Scientist II / Sr. Scientist I, Imaging Sciences"
83,jl_515fe1a77620c4fb,1,"Scientist, Pharmacokinetics"
84,jl_d628a3abc83f789c,1,Senior Scientist â€“ Neuroscience Merck Boston Job
85,jl_8b7ca6450e2a0ccf,1,"Sr Scientist, Laboratory of Neuronal Cell Biology, Research"
86,jl_747d7a9796cc5430,1,Principal Data Scientist
87,jl_20db1dc1e028165e,1,"Software Engineer, PhD University Graduate (United States)"
88,jl_0fbf587bef4e90eb,1,"Director/Senior Director, Innate Immunity Cluster, Immunolog..."
89,jl_33ab36b68cf6db84,1,Staff Scientist -- Immunotherapy/Advance Technology Team (AT...
90,jl_8dcb69dd20ec366f,1,Data Scientist
91,jl_b856f9a5bc9b6cef,1,"Director, Data Scientist"
92,jl_a28062d53f0e76b7,1,Back - end / Data Engineers
93,jl_5098da5e52b1bc57,1,Research Leader
94,jl_00e49ce025b8313b,1,Data Scientist
95,jl_31572b6e494bcd16,1,Senior Data Scientist
96,jl_c2e361dbb71ecbf8,1,Senior Research Scientist
97,jl_ec0c0eb870136905,1,Software Engineer - Data
98,jl_b0f565490f5bfdb8,1,Research Associate
99,jl_009047ba89f82da3,1,Image/Sensor Analytics Scientist/Engineer
100,jl_01a41531e800513c,1,Data Scientist
101,jl_df41c80fb8140e8d,1,"Scientist I/II, Protein Biochemistry and Analytical Characte..."
102,jl_ab7aa67f2f87eeab,1,"Contract Scientist, Drug Metabolism"
103,jl_841c17731ba51853,1,Associate Software Engineer - MacArthur
104,jl_51e6fd504a62dc78,1,Sr Staff Data Scientist
105,jl_5f30454eae8a42bd,1,PhD Research Scientist- Machine Learning
106,jl_46dd5d3b34eb8095,1,Data Scientist
107,jl_426d48990b9a04f8,1,Data Science Engineer
108,jl_97fcd1398a720af3,1,2017 Summer Internship - Data Science/Informatics Graduate
109,jl_82fd0f489c1fdce7,1,"Scientist, Academic Research"
110,jl_c6e1d69d01a23c70,1,Senior Systematic Reviewer - Meta Research
111,jl_85877b09235dfab3,1,Senior Research Scientist
112,jl_04bb52a92d4f229d,1,Field Application Scientist
113,jl_48f5b9b2d09f9a08,1,"Scientist I, Core Lab"
114,jl_9f6211d86fd042c4,1,Prinicipal Scientist
115,jl_5a0f29c7abcad0f9,1,Compiler Engineer
116,jl_72ed95a4455c8cf8,1,Data Scientist
117,jl_77a9d190136a7522,1,Research Manager
118,jl_62832f65da3d94e5,1,Speech Scientist
119,jl_c6971ecdae3a7a30,1,"Sr./Principal Scientist, Bioinformatics, Computational Scien..."
120,jl_8d82455aaea80d06,1,Scientist I Formulation Development
121,jl_48f5b9b2d09f9a08,1,"Scientist I, Core Lab"
122,jl_cbd87194f10be725,1,Scientist USP temporary
123,jl_abe32cd7f66050b6,1,Scientist USP
124,jl_b766880e85f1f338,1,SENIOR BIOINFORMATICIAN / 40 HOURS / DAY / BWH - GENETICS
125,jl_72d61acf3427738a,1,Scientist I/Computational Biologist - Wu Lab
126,jl_3fba4164650cb89f,1,"Principal Scientist, Immunology"
127,jl_30e4d5ae69d55215,1,Field Applications Scientist
128,jl_b6c3ac0bc6c3c607,1,Signal Processing Engineer
129,jl_1d247feb6e5e4473,1,Data Science Graduate Level Internship
130,jl_dc9231ae5b1abeed,1,"Director, Rare Disease Research, Elpidera"
131,jl_82fd0f489c1fdce7,1,"Scientist, Academic Research"
132,jl_07bc4d5e4767d23e,1,Head of Pharmacology
133,jl_70351b5092814475,1,Biomedical Data Scientist
134,jl_305e0089ee03ebb9,1,Software Engineer
135,jl_eb7b4ab1590fe8c2,1,Senior Research Engineer
136,jl_efe1f6009c414c19,1,"Principal Scientist â€“ Computational Biology Proteomics,10410..."
137,jl_a6a332c03fae43ff,1,Full Stack Engineer
138,jl_0f87d0f659df75a5,1,Computer Vision - Research Scientist
139,jl_d3e7ee950f19bc93,1,Machine Learning Data Scientist
140,jl_9bbbc9ac321d49a0,1,Process Engineer Senior
141,jl_5c8ba2006575d4ed,1,Chemical Engineer
142,jl_256cf445cff32ba8,1,Principle Scientist
143,jl_5d23f27794c61840,1,Sr. Bioinformatics Scientist
144,jl_531c5f59fa2db3b0,1,Summer Research Program Intern
145,jl_1414aac901470fe3,1,Senior Data Scientist
146,jl_10becf8503b54a86,1,Electrolyte Scientist
147,jl_3434e08258be7549,1,PRODUCT DEVELOPMENT SCIENTIST/SENIOR SCIENTIST - FORMULATION
148,jl_e5f7cff76fe2d217,1,Senior Biostatistician
149,jl_f5e6050e63495755,1,Lead Data Scientist
150,jl_9441717ee65b9177,1,Senior Scientist â€“ Computational Chemistry
151,jl_834e18841034374f,1,Principal Scientist Biology
152,jl_2cb218213ebed890,1,Junior Data Scientist
