,id,has_startup
0,jl_16adc2284667102e,1
1,jl_788467cccf1800c4,1
2,jl_28643ddfd474331d,1
3,jl_ec0c0eb870136905,1
4,jl_a20aa38ea8517f9b,1
5,jl_f79cfbb7de6579f0,1
6,jl_28ded0222b036ce0,1
7,jl_177f9b5e49c35216,1
8,jl_2b3024870a95445f,1
9,jl_069e91ac98318cac,1
10,jl_a28062d53f0e76b7,1
11,jl_40040d6dcac2f7a4,1
12,jl_26c552ec204ed2bb,1
13,jl_f3692f7634a8bd70,1
14,jl_e0e3ab79ad5802ac,1
15,jl_8426fd79a582a5a3,1
16,jl_7fd98a87cf190b3a,1
17,jl_92307eb3ac5acb6d,1
18,jl_349882fce8422849,1
19,jl_98fbcf1df40d912b,1
20,jl_bf971d59ae92d952,1
21,jl_05654b2739edb3dc,1
22,jl_b594d545b79ebb33,1
23,jl_16115ca1e52fa56a,1
24,jl_c9f3d74dfec2b58a,1
25,jl_5c4c561c417a3a0e,1
26,jl_bacb6a4b0522a8d1,1
27,jl_bf72aa86b4b94354,1
28,jl_ba96a5fe42ebb45a,1
29,jl_a7b9a3ae92cb2fd0,1
30,jl_7b23b565ca64b8f7,1
31,jl_19de10235c8bdde3,1
32,jl_71ebe7d268dce9ca,1
33,jl_3f4451e9ba7610d4,1
34,jl_fe2e580359e6ed09,1
35,jl_9626c817bc6e4a58,1
36,jl_c10909eba8a41128,1
37,jl_26aefeed43055f99,1
38,jl_a847d9e349564130,1
39,jl_27be3e2e56bc155a,1
40,jl_46f9749df0d852a5,1
41,jl_61250b29426460bf,1
42,jl_80f2955f0cbfd8cd,1
43,jl_24418a1fa6946cb5,1
44,jl_a0779424c9079da1,1
45,jl_77151706ac476442,1
46,jl_1b510c7db8656f8b,1
47,jl_2f9d39e20a55df44,1
48,jl_b7e5050ef9d1907a,1
49,jl_77dc10ccf817960d,1
50,jl_cde07460ec58a933,1
51,jl_89d6dcbd01c6ed1e,1
52,jl_548d5d6f4e260c19,1
53,jl_a847d9e349564130,1
54,jl_6c600276c194b9e9,1
55,jl_236c5f472b593823,1
56,jl_df4f67a620710e8a,1
57,jl_cfaf4580a4eba466,1
58,jl_77151706ac476442,1
59,jl_854d05a05acc73df,1
60,jl_80f2955f0cbfd8cd,1
61,jl_24418a1fa6946cb5,1
62,jl_edf3a3681ef7d8b0,1
63,jl_03a8bba20bb105b7,1
64,jl_c38179870b71fdb9,1
65,jl_5809e08f3442a27f,1
66,jl_20682817fe345075,1
67,jl_e3c140123e9b7692,1
68,jl_a93519cd9cc82925,1
69,jl_cb2602853c2706ec,1
70,jl_398a893a4024fe01,1
71,jl_ba19b2e0984e8e1f,1
72,jl_89b7884095f9fff2,1
73,jl_275a5b460844dc3b,1
74,jl_4f12cdd933304825,1
75,jl_27952ac140bbbd06,1
76,jl_ecb3f8dff0b8cfc0,1
77,jl_187f152fed51bfa9,1
78,jl_f4eafb4c336da7ac,1
79,jl_360ee937dd5d3bb7,1
80,jl_16fd663281139121,1
81,jl_ce51bf2b6607c0cd,1
82,jl_a5306401657b46b4,1
83,jl_c98395ff6abb6eaa,1
84,jl_aa46cf30c6aecfb5,1
85,jl_13b17a5f966f15c5,1
86,jl_0401599ef6948a07,1
